"",BBK01.OEAF05P,BBK01.OEAF05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:09,
2002-01,2.952,
2002-04,2.940,
2002-07,2.976,
2002-10,2.960,
2003-01,2.936,
2003-04,2.920,
2003-07,2.880,
2003-10,2.834,
2004-01,3.407,
2004-04,3.303,
2004-07,3.314,
2004-10,3.238,
2005-01,3.168,
2005-04,3.150,
2005-07,3.166,
2005-10,3.121,
2006-01,3.131,
2006-04,3.138,
2006-07,3.152,
2006-10,3.111,
2007-01,3.101,
2007-04,3.084,
2007-07,3.107,
2007-10,3.072,
2008-01,3.030,
2008-04,2.986,
2008-07,2.942,
2008-10,2.888,
2009-01,2.876,
2009-04,2.885,
2009-07,2.844,
2009-10,3.069,
2010-01,2.749,
2010-04,2.799,
2010-07,2.813,
2010-10,2.786,
2011-01,2.757,
2011-04,2.756,
2011-07,2.754,
2011-10,2.734,
2012-01,2.729,
2012-04,2.747,
2012-07,2.725,
2012-10,2.612,
2013-01,2.629,
2013-04,2.620,
2013-07,2.645,
2013-10,2.615,
2014-01,2.611,
2014-04,2.617,
2014-07,2.608,
