"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:05,
1991-01,44.788,
1991-04,-13.956,
1991-07,-22.551,
1991-10,49.275,
1992-01,-5.002,
1992-04,0.273,
1992-07,144.611,
1992-10,33.802,
1993-01,-9.951,
1993-04,6.224,
1993-07,0.745,
1993-10,6.491,
1994-01,5.274,
1994-04,-9.159,
1994-07,17.624,
1994-10,33.250,
1995-01,-17.241,
1995-04,55.366,
1995-07,-74.688,
1995-10,66.585,
1996-01,-20.522,
1996-04,-44.615,
1996-07,10.894,
1996-10,78.727,
1997-01,74.392,
1997-04,-51.231,
1997-07,41.734,
1997-10,0.397,
1998-01,63.843,
1998-04,365.566,
1998-07,-274.362,
1998-10,42.428,
1999-01,48.105,
1999-04,42.402,
1999-07,144.689,
1999-10,398.132,
2000-01,41.688,
2000-04,289.014,
2000-07,-227.653,
2000-10,307.602,
2001-01,473.626,
2001-04,-169.275,
2001-07,482.109,
2001-10,159.830,
2002-01,-633.892,
2002-04,156.857,
2002-07,-178.787,
2002-10,451.253,
2003-01,-26.819,
2003-04,165.077,
2003-07,-14.356,
2003-10,-451.382,
2004-01,-130.866,
2004-04,-469.943,
2004-07,30.017,
2004-10,-217.301,
2005-01,-72.258,
2005-04,129.197,
2005-07,235.633,
2005-10,-315.995,
2006-01,-41.795,
2006-04,51.497,
2006-07,530.350,
2006-10,160.829,
2007-01,-398.965,
2007-04,41.166,
2007-07,527.362,
2007-10,171.314,
2008-01,-218.525,
2008-04,498.533,
2008-07,-2.467,
2008-10,-597.636,
2009-01,-280.730,
2009-04,114.332,
2009-07,114.659,
2009-10,114.070,
2010-01,-25.432,
2010-04,-69.104,
2010-07,80.449,
2010-10,-238.144,
2011-01,69.679,
2011-04,-225.929,
2011-07,154.829,
2011-10,-23.667,
2012-01,283.075,
2012-04,109.378,
2012-07,323.462,
2012-10,69.184,
2013-01,483.121,
2013-04,10.927,
2013-07,-330.026,
2013-10,36.418,
2014-01,-224.292,Provisional value
2014-04,102.204,Provisional value
2014-07,154.269,Provisional value
2014-10,270.814,Provisional value
