"",BBFB1.M.N.DE.W1.S1.S1.T.D.D43S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D43S.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Reinvested earnings / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:40,
1991-01,70.722,
1991-02,103.026,
1991-03,53.027,
1991-04,81.331,
1991-05,148.173,
1991-06,145.163,
1991-07,131.521,
1991-08,147.388,
1991-09,131.464,
1991-10,142.272,
1991-11,151.556,
1991-12,-131.526,
1992-01,-342.801,
1992-02,-356.287,
1992-03,-327.724,
1992-04,-345.978,
1992-05,-407.063,
1992-06,-326.049,
1992-07,-352.099,
1992-08,-316.273,
1992-09,-346.024,
1992-10,-327.124,
1992-11,-348.357,
1992-12,-1051.875,
1993-01,-344.319,
1993-02,-246.839,
1993-03,-242.137,
1993-04,-303.959,
1993-05,-246.914,
1993-06,-361.666,
1993-07,-278.245,
1993-08,-281.194,
1993-09,-309.906,
1993-10,-253.746,
1993-11,-303.635,
1993-12,-792.199,
1994-01,-78.800,
1994-02,-98.960,
1994-03,-74.008,
1994-04,-81.635,
1994-05,-95.192,
1994-06,-254.603,
1994-07,-123.764,
1994-08,-170.064,
1994-09,-72.569,
1994-10,-198.441,
1994-11,-74.696,
1994-12,-301.176,
1995-01,-165.276,
1995-02,-176.125,
1995-03,-164.881,
1995-04,-185.863,
1995-05,-231.437,
1995-06,-292.001,
1995-07,-169.694,
1995-08,-160.459,
1995-09,-209.178,
1995-10,-281.208,
1995-11,-199.432,
1995-12,-456.718,
1996-01,-322.283,
1996-02,-305.678,
1996-03,-643.185,
1996-04,-581.467,
1996-05,-324.893,
1996-06,-454.790,
1996-07,-432.604,
1996-08,-310.974,
1996-09,-295.842,
1996-10,-356.571,
1996-11,-290.643,
1996-12,-1250.771,
1997-01,-46.942,
1997-02,-73.272,
1997-03,-73.975,
1997-04,-171.156,
1997-05,-76.031,
1997-06,-211.755,
1997-07,-63.053,
1997-08,-38.388,
1997-09,-91.394,
1997-10,-37.755,
1997-11,-88.138,
1997-12,-407.059,
1998-01,-61.184,
1998-02,-48.639,
1998-03,-62.150,
1998-04,-195.126,
1998-05,-113.852,
1998-06,-80.879,
1998-07,-50.892,
1998-08,-348.426,
1998-09,-63.106,
1998-10,-52.261,
1998-11,-64.955,
1998-12,-138.961,
1999-01,-456.959,
1999-02,-520.345,
1999-03,-460.919,
1999-04,-448.496,
1999-05,-436.354,
1999-06,-440.443,
1999-07,-468.565,
1999-08,-451.522,
1999-09,-455.737,
1999-10,-559.671,
1999-11,-463.796,
1999-12,-626.668,
2000-01,-929.629,
2000-02,-489.255,
2000-03,-497.455,
2000-04,-506.269,
2000-05,-631.127,
2000-06,-509.031,
2000-07,-501.256,
2000-08,-540.492,
2000-09,-514.799,
2000-10,-509.734,
2000-11,-516.724,
2000-12,-737.455,
2001-01,-946.828,
2001-02,-2039.645,
2001-03,-1641.358,
2001-04,-1300.807,
2001-05,-1902.618,
2001-06,-4096.351,
2001-07,-1373.585,
2001-08,-1604.928,
2001-09,-1232.784,
2001-10,-958.877,
2001-11,-1367.348,
2001-12,-2787.277,
2002-01,-694.535,
2002-02,-264.702,
2002-03,54.897,
2002-04,-716.257,
2002-05,-1120.429,
2002-06,-452.488,
2002-07,-249.108,
2002-08,-167.284,
2002-09,134.023,
2002-10,-1879.732,
2002-11,4.770,
2002-12,-1639.368,
2003-01,270.781,
2003-02,380.349,
2003-03,229.210,
2003-04,-1057.096,
2003-05,-933.706,
2003-06,-2008.155,
2003-07,-1141.257,
2003-08,376.331,
2003-09,620.336,
2003-10,369.237,
2003-11,214.103,
2003-12,-654.515,
2004-01,370.903,
2004-02,-1005.770,
2004-03,-1837.730,
2004-04,77.130,
2004-05,-1512.454,
2004-06,90.720,
2004-07,8.007,
2004-08,-316.956,
2004-09,579.312,
2004-10,636.778,
2004-11,-632.647,
2004-12,-543.263,
2005-01,-322.240,
2005-02,1250.447,
2005-03,1027.189,
2005-04,-621.609,
2005-05,516.202,
2005-06,-537.381,
2005-07,-263.718,
2005-08,634.982,
2005-09,1048.203,
2005-10,1008.606,
2005-11,897.966,
2005-12,-1372.798,
2006-01,423.002,
2006-02,361.923,
2006-03,259.926,
2006-04,-418.011,
2006-05,-605.571,
2006-06,-1138.194,
2006-07,-285.371,
2006-08,931.641,
2006-09,986.694,
2006-10,1217.391,
2006-11,-529.690,
2006-12,-1571.707,
2007-01,2725.113,
2007-02,1321.096,
2007-03,1867.684,
2007-04,287.997,
2007-05,-17.596,
2007-06,-2465.214,
2007-07,1931.796,
2007-08,326.363,
2007-09,44.884,
2007-10,819.845,
2007-11,-262.961,
2007-12,-1104.851,
2008-01,104.759,
2008-02,-458.296,
2008-03,-1147.335,
2008-04,-2518.407,
2008-05,-1749.079,
2008-06,-3149.396,
2008-07,-4376.800,
2008-08,-2219.371,
2008-09,-952.743,
2008-10,-952.880,
2008-11,-1062.246,
2008-12,-4038.798,
2009-01,-393.971,
2009-02,-278.772,
2009-03,-1519.214,
2009-04,-834.106,
2009-05,-1409.721,
2009-06,-1570.859,
2009-07,-1029.987,
2009-08,-501.911,
2009-09,-232.348,
2009-10,-381.986,
2009-11,336.856,
2009-12,-3601.024,
2010-01,1040.948,
2010-02,888.292,
2010-03,980.784,
2010-04,136.433,
2010-05,-2744.987,
2010-06,193.680,
2010-07,800.849,
2010-08,1189.501,
2010-09,1658.578,
2010-10,1882.689,
2010-11,1337.844,
2010-12,-3792.564,
2011-01,1155.225,
2011-02,1099.328,
2011-03,691.162,
2011-04,-137.936,
2011-05,-1577.576,
2011-06,-705.146,
2011-07,-384.854,
2011-08,664.471,
2011-09,-967.245,
2011-10,1209.049,
2011-11,-329.717,
2011-12,-1417.566,
2012-01,27.867,
2012-02,1553.843,
2012-03,973.111,
2012-04,1044.740,
2012-05,-653.542,
2012-06,-372.973,
2012-07,289.547,
2012-08,1356.065,
2012-09,399.973,
2012-10,799.621,
2012-11,763.361,
2012-12,-142.997,
2013-01,1568.698,
2013-02,1467.430,
2013-03,870.435,
2013-04,908.347,
2013-05,-2030.159,
2013-06,-81.626,
2013-07,-520.666,
2013-08,600.956,
2013-09,608.181,
2013-10,1149.858,
2013-11,-169.174,
2013-12,-792.562,
2014-01,1321.433,
2014-02,1495.044,Provisional value
2014-03,784.597,Provisional value
2014-04,1069.974,Provisional value
2014-05,394.617,Provisional value
2014-06,-752.165,Provisional value
2014-07,845.347,Provisional value
2014-08,1039.070,Provisional value
2014-09,1041.315,
2014-10,1217.033,
2014-11,-743.989,
2014-12,722.771,Provisional value
