"",BBFB1.Q.N.DE.CA.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:40,
1991-01,495.292,
1991-04,520.465,
1991-07,519.840,
1991-10,519.002,
1992-01,451.901,
1992-04,478.220,
1992-07,463.178,
1992-10,545.075,
1993-01,478.257,
1993-04,443.144,
1993-07,393.209,
1993-10,484.028,
1994-01,429.076,
1994-04,458.269,
1994-07,437.068,
1994-10,536.174,
1995-01,607.618,
1995-04,572.084,
1995-07,606.266,
1995-10,655.902,
1996-01,498.118,
1996-04,555.068,
1996-07,540.873,
1996-10,501.423,
1997-01,508.964,
1997-04,567.524,
1997-07,567.287,
1997-10,588.352,
1998-01,597.848,
1998-04,611.359,
1998-07,514.459,
1998-10,598.891,
1999-01,470.315,
1999-04,475.177,
1999-07,562.736,
1999-10,548.979,
2000-01,614.336,
2000-04,697.470,
2000-07,575.876,
2000-10,683.330,
2001-01,666.910,
2001-04,616.488,
2001-07,556.465,
2001-10,548.926,
2002-01,434.887,
2002-04,607.806,
2002-07,525.964,
2002-10,429.058,
2003-01,564.025,
2003-04,486.941,
2003-07,479.542,
2003-10,492.362,
2004-01,510.445,
2004-04,381.250,
2004-07,552.180,
2004-10,465.171,
2005-01,452.651,
2005-04,474.904,
2005-07,573.734,
2005-10,686.752,
2006-01,705.408,
2006-04,648.765,
2006-07,853.997,
2006-10,924.277,
2007-01,941.816,
2007-04,742.229,
2007-07,789.590,
2007-10,837.060,
2008-01,852.584,
2008-04,843.936,
2008-07,987.791,
2008-10,1007.971,
2009-01,802.252,
2009-04,839.058,
2009-07,806.704,
2009-10,749.139,
2010-01,990.494,
2010-04,937.547,
2010-07,945.790,
2010-10,1076.235,
2011-01,1108.943,
2011-04,1210.492,
2011-07,1254.492,
2011-10,1431.236,
2012-01,963.348,
2012-04,1024.066,
2012-07,1173.899,
2012-10,1037.562,
2013-01,1061.850,
2013-04,1119.877,
2013-07,962.174,
2013-10,1160.554,
2014-01,852.464,Provisional value
2014-04,894.142,Provisional value
2014-07,889.483,Provisional value
