"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Funds total / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:59,
2009-09,535746,
2009-10,538836,
2009-11,546906,
2009-12,555666,
2010-01,564368,
2010-02,568084,
2010-03,583308,
2010-04,580831,
2010-05,578255,
2010-06,578993,
2010-07,588443,
2010-08,605665,
2010-09,608632,
2010-10,615981,
2010-11,606711,
2010-12,609400,
2011-01,608452,
2011-02,618681,
2011-03,616739,
2011-04,620066,
2011-05,621364,
2011-06,618246,
2011-07,620900,
2011-08,609899,
2011-09,602914,
2011-10,610970,
2011-11,599974,
2011-12,615889,
2012-01,626291,
2012-02,649595,
2012-03,655446,
2012-04,657347,
2012-05,658862,
2012-06,661097,
2012-07,686406,
2012-08,694381,
2012-09,697333,
2012-10,704770,
2012-11,713745,
2012-12,729992,
2013-01,731409,
2013-02,737255,
2013-03,746947,
2013-04,764571,
2013-05,761361,
2013-06,739972,
2013-07,755164,
2013-08,752230,
2013-09,760161,
2013-10,770642,
2013-11,777215,
2013-12,772049,
2014-01,778913,
2014-02,793335,
2014-03,804789,
2014-04,812040,
2014-05,824301,
2014-06,830198,
2014-07,837090,
2014-08,850472,
2014-09,849623,
2014-10,850108,
2014-11,865773,
