"",BBK01.OEAH22V,BBK01.OEAH22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:53,
2002-01,4.279,
2002-04,4.408,
2002-07,4.387,
2002-10,4.343,
2003-01,4.296,
2003-04,4.133,
2003-07,4.026,
2003-10,4.005,
2004-01,4.049,
2004-04,3.978,
2004-07,3.883,
2004-10,3.679,
2005-01,3.536,
2005-04,3.364,
2005-07,3.209,
2005-10,3.171,
2006-01,3.128,
2006-04,3.077,
2006-07,3.100,
2006-10,3.067,
2007-01,3.038,
2007-04,3.130,
2007-07,3.228,
2007-10,3.327,
2008-01,3.432,
2008-04,3.567,
2008-07,3.751,
2008-10,3.933,
2009-01,3.587,
2009-04,3.262,
2009-07,2.972,
2009-10,2.860,
2010-01,2.802,
2010-04,2.820,
2010-07,2.811,
2010-10,2.781,
2011-01,2.843,
2011-04,3.043,
2011-07,3.030,
2011-10,3.000,
2012-01,2.932,
2012-04,2.899,
2012-07,2.782,
2012-10,2.638,
2013-01,2.502,
2013-04,2.417,
2013-07,2.378,
2013-10,2.382,
2014-01,2.429,
2014-04,2.395,
2014-07,2.489,
