"",BBEX3.M.SDG.USD.CA.AA.A01,BBEX3.M.SDG.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Sudan / USD 1 = SDG ... (buying),
unit,SDG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:45,
2007-07,2.0002,comment
2007-08,2.0014,
2007-09,2.0330,
2007-10,2.0303,
2007-11,2.0264,
2007-12,2.0475,
2008-01,2.0303,
2008-02,2.0090,
2008-03,2.0250,
2008-04,2.0330,
2008-05,2.0250,
2008-06,2.0520,
2008-07,2.0646,
2008-08,2.0900,
2008-09,2.1380,
2008-10,2.2080,
2008-11,2.1982,
2008-12,2.1787,
2009-01,2.2240,
2009-02,2.2815,
2009-03,2.3078,
2009-04,2.3503,
2009-05,2.3483,
2009-06,2.3704,
2009-07,2.4177,
2009-08,2.4363,
2009-09,2.3038,
2009-10,2.2654,
2009-11,2.2423,
2009-12,2.2344,
2010-01,2.2318,
2010-02,2.2294,
2010-03,2.2267,
2010-04,2.2244,
2010-05,2.2649,
2010-06,2.3570,
2010-07,2.3661,
2010-08,2.3671,
2010-09,2.3666,
2010-10,2.3660,
2010-11,2.4124,
2010-12,2.4980,
2011-01,2.5031,
2011-02,2.6863,
2011-03,2.7922,
2011-04,2.6702,
2011-05,2.6702,
2011-06,2.6702,
2011-07,2.6702,
2011-08,2.6702,
2011-09,2.6702,
2011-10,2.6702,
2011-11,2.6702,
2011-12,2.6702,
2012-01,2.6702,
2012-02,2.6702,
2012-03,2.6702,
2012-04,2.6702,
2012-05,2.6702,
2012-06,4.4200,comment
2012-07,4.3980,
2012-08,4.3980,
2012-09,4.3980,
2012-10,4.3980,
2012-11,4.3980,
2012-12,4.3980,
2013-01,4.3980,
2013-02,4.3980,
2013-03,4.3980,
2013-04,4.3980,
2013-05,4.3980,
2013-06,4.3980,
2013-07,4.3980,
2013-08,4.3980,
2013-09,5.6716,comment
2013-10,5.6721,
2013-11,5.6816,
2013-12,5.6816,
2014-01,5.6816,
2014-02,5.6816,
2014-03,5.6816,
2014-04,5.6816,
2014-05,5.6816,
2014-06,5.6816,
2014-07,5.6816,
2014-08,5.6816,
2014-09,5.7271,
2014-10,5.7271,
2014-11,5.8520,
2014-12,5.9573,
2015-01,5.9573,
"","General: Listed in SDD until June 2007; see BBEX2:M:SDD:USD:CA:AA:A01. The Sudanese pound (SDG) has been in circulation since 10 January 2007, when it was introduced at a rate of SDD 100 = SDG 1. The SDD remained legal tender alongside the SDG until 30 June 2007.",
"","Source: Central Bank of Sudan (Bank of Sudan), Khartoum",
"",Comment on 2007-07: Listed in SDD until June 2007; see BBEX2:M:SDD:USD:CA:AA:A01.,
"",Comment on 2012-06: The Sudanese pound was devalued on 25 June 2012. We recorded the following exchange rates (buying/selling): 24 June 2012: USD 1 = SDG 2.6702 / 2.6836 25 June 2012: USD 1 = SDG 4.4200 / 4.4421 Calculated devaluation: 39.6%.,
"",Comment on 2013-09: The Sudanese pound was devalued on 24 September 2013. We recorded the following exchange rates (buying/selling): 23 September 2013: USD 1 = SDG 4.3980 / 4.4200 24 September 2013: USD 1 = SDG 5.6716 / 5.7000 Calculated devaluation: 22.5%.,
