"",BBK01.OEAA39G,BBK01.OEAA39G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:35,
2002-01,168.136,
2002-04,169.233,
2002-07,170.788,
2002-10,172.613,
2003-01,173.056,
2003-04,174.248,
2003-07,176.080,
2003-10,177.885,
2004-01,178.006,
2004-04,179.438,
2004-07,183.746,
2004-10,184.661,
2005-01,164.595,
2005-04,164.954,
2005-07,165.734,
2005-10,166.497,
2006-01,164.874,
2006-04,165.350,
2006-07,166.002,
2006-10,166.203,
2007-01,165.432,
2007-04,165.779,
2007-07,166.213,
2007-10,166.566,
2008-01,166.071,
2008-04,167.058,
2008-07,168.181,
2008-10,168.685,
2009-01,168.131,
2009-04,170.548,
2009-07,171.870,
2009-10,172.530,
2010-01,172.635,
2010-04,173.576,
2010-07,174.841,
2010-10,175.073,
2011-01,176.311,
2011-04,177.426,
2011-07,178.820,
2011-10,179.924,
2012-01,180.034,
2012-04,181.244,
2012-07,182.654,
2012-10,183.791,
2013-01,183.903,
2013-04,184.761,
2013-07,186.404,
2013-10,187.867,
2014-01,188.198,
2014-04,189.662,
2014-07,191.577,
