"",BBK01.OEAF02S,BBK01.OEAF02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:49,
2002-01,8.077,
2002-04,8.173,
2002-07,8.287,
2002-10,8.409,
2003-01,8.433,
2003-04,8.496,
2003-07,8.614,
2003-10,8.667,
2004-01,8.580,
2004-04,8.605,
2004-07,8.612,
2004-10,8.163,
2005-01,9.044,
2005-04,9.107,
2005-07,9.127,
2005-10,9.053,
2006-01,9.011,
2006-04,9.065,
2006-07,9.136,
2006-10,9.190,
2007-01,9.149,
2007-04,9.288,
2007-07,9.253,
2007-10,9.227,
2008-01,9.126,
2008-04,9.102,
2008-07,9.199,
2008-10,9.172,
2009-01,9.128,
2009-04,9.658,
2009-07,9.785,
2009-10,9.743,
2010-01,9.751,
2010-04,9.838,
2010-07,9.994,
2010-10,9.901,
2011-01,10.045,
2011-04,10.107,
2011-07,10.204,
2011-10,10.279,
2012-01,10.338,
2012-04,10.495,
2012-07,10.640,
2012-10,10.734,
2013-01,10.820,
2013-04,10.962,
2013-07,11.154,
2013-10,11.282,
2014-01,11.370,
2014-04,11.576,
2014-07,11.793,
