"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:34,
1991-01,316.989,
1991-04,158.380,
1991-07,44.624,
1991-10,-13.022,
1992-01,362.312,
1992-04,18.940,
1992-07,6.184,
1992-10,72.354,
1993-01,-160.790,
1993-04,-9.290,
1993-07,-47.810,
1993-10,11.672,
1994-01,-22.245,
1994-04,18.780,
1994-07,-17.596,
1994-10,14.570,
1995-01,83.957,
1995-04,64.115,
1995-07,284.210,
1995-10,82.615,
1996-01,-506.272,
1996-04,-153.189,
1996-07,-63.797,
1996-10,124.060,
1997-01,-147.733,
1997-04,46.740,
1997-07,337.155,
1997-10,238.467,
1998-01,31.737,
1998-04,-189.882,
1998-07,32.827,
1998-10,-79.193,
1999-01,88.278,
1999-04,-145.498,
1999-07,367.947,
1999-10,304.087,
2000-01,183.924,
2000-04,257.709,
2000-07,278.820,
2000-10,213.047,
2001-01,-118.660,
2001-04,-265.196,
2001-07,322.157,
2001-10,-98.457,
2002-01,63.017,
2002-04,-211.932,
2002-07,144.563,
2002-10,130.626,
2003-01,438.241,
2003-04,236.794,
2003-07,307.298,
2003-10,-32.113,
2004-01,247.771,
2004-04,203.114,
2004-07,284.847,
2004-10,643.625,
2005-01,-176.690,
2005-04,-389.073,
2005-07,167.144,
2005-10,235.699,
2006-01,241.659,
2006-04,113.488,
2006-07,90.286,
2006-10,651.539,
2007-01,1053.865,
2007-04,529.465,
2007-07,330.614,
2007-10,478.802,
2008-01,-387.430,
2008-04,118.129,
2008-07,378.098,
2008-10,964.869,
2009-01,-1125.062,
2009-04,-55.367,
2009-07,333.748,
2009-10,855.783,
2010-01,-473.401,
2010-04,1060.595,
2010-07,501.235,
2010-10,217.937,
2011-01,-266.653,
2011-04,397.860,
2011-07,455.930,
2011-10,1099.572,
2012-01,-407.212,
2012-04,-77.348,
2012-07,346.735,
2012-10,861.866,
2013-01,-649.258,
2013-04,209.148,
2013-07,331.521,
2013-10,1216.037,
2014-01,-815.445,Provisional value
2014-04,574.459,Provisional value
2014-07,68.575,Provisional value
2014-10,1187.970,Provisional value
