"",BBFN1.M.DE.N.1.L.SE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:20,
1994-12,2.586,
1995-01,2.575,
1995-02,2.531,
1995-03,2.517,
1995-04,2.405,
1995-05,2.491,
1995-06,2.447,
1995-07,2.351,
1995-08,2.379,
1995-09,2.450,
1995-10,2.453,
1995-11,2.394,
1995-12,2.305,
1996-01,2.384,
1996-02,2.152,
1996-03,2.243,
1996-04,2.211,
1996-05,2.082,
1996-06,2.093,
1996-07,2.025,
1996-08,2.027,
1996-09,2.152,
1996-10,2.079,
1996-11,2.046,
1996-12,2.028,
1997-01,1.978,
1997-02,2.128,
1997-03,2.720,
1997-04,2.734,
1997-05,2.722,
1997-06,2.748,
1997-07,2.701,
1997-08,2.687,
1997-09,2.765,
1997-10,2.873,
1997-11,2.799,
1997-12,2.847,
1998-01,2.870,
1998-02,2.877,
1998-03,2.929,
1998-04,2.914,
1998-05,3.017,
1998-06,3.030,
1998-07,2.950,
1998-08,2.941,
1998-09,2.979,
1998-10,3.202,
1998-11,3.157,
1998-12,3.637,
1999-01,3.402,
1999-02,3.310,
1999-03,3.348,
1999-04,3.377,
1999-05,3.262,
1999-06,3.400,
1999-07,3.086,
1999-08,3.000,
1999-09,3.274,
1999-10,3.646,
1999-11,3.330,
1999-12,3.010,
2000-01,2.999,
2000-02,3.178,
2000-03,3.287,
2000-04,3.748,
2000-05,3.746,
2000-06,4.306,
2000-07,4.378,
2000-08,4.540,
2000-09,4.120,
2000-10,4.733,
2000-11,4.741,
2000-12,4.024,
2001-01,3.868,
2001-02,3.881,
2001-03,3.922,
2001-04,4.133,
2001-05,4.142,
2001-06,3.823,
2001-07,3.866,
2001-08,3.965,
2001-09,4.064,
2001-10,4.222,
2001-11,4.448,
2001-12,4.916,
2002-01,5.229,
2002-02,5.806,
2002-03,5.725,
2002-04,5.734,
2002-05,5.870,
2002-06,6.016,
2002-07,6.128,
2002-08,6.574,
2002-09,7.024,
2002-10,6.494,
2002-11,6.507,
2002-12,5.556,
2003-01,5.595,
2003-02,5.856,
2003-03,5.485,
2003-04,5.413,
2003-05,5.268,
2003-06,5.415,
2003-07,5.206,
2003-08,5.470,
2003-09,5.350,
2003-10,5.241,
2003-11,5.168,
2003-12,5.310,
2004-01,5.247,
2004-02,5.328,
2004-03,5.180,
2004-04,4.986,
2004-05,4.758,
2004-06,4.794,
2004-07,4.928,
2004-08,5.108,
2004-09,5.525,
2004-10,5.497,
2004-11,5.404,
2004-12,5.619,
2005-01,5.536,
2005-02,4.794,
2005-03,4.755,
2005-04,5.023,
2005-05,5.076,
2005-06,5.466,
2005-07,5.630,
2005-08,5.731,
2005-09,5.964,
2005-10,5.709,
2005-11,5.966,
2005-12,6.224,
2006-01,6.403,
2006-02,6.804,
2006-03,6.721,
2006-04,6.896,
2006-05,6.417,
2006-06,6.801,
2006-07,6.629,
2006-08,6.563,
2006-09,7.409,
2006-10,7.034,
2006-11,7.006,
2006-12,6.842,
2007-01,6.771,
2007-02,6.849,
2007-03,7.883,
2007-04,7.746,
2007-05,7.857,
2007-06,7.814,
2007-07,7.653,
2007-08,7.643,
2007-09,7.403,
2007-10,7.483,
2007-11,7.591,
2007-12,7.080,
2008-01,7.472,
2008-02,7.374,
2008-03,7.376,
2008-04,7.228,
2008-05,7.093,
2008-06,7.093,
2008-07,6.227,
2008-08,6.627,
2008-09,6.309,
2008-10,6.197,
2008-11,6.215,
2008-12,6.279,
2009-01,6.160,
2009-02,6.470,
2009-03,6.488,
2009-04,6.136,
2009-05,6.313,
2009-06,6.018,
2009-07,6.194,
2009-08,6.115,
2009-09,6.633,
2009-10,6.834,
2009-11,6.699,
2009-12,6.992,
2010-01,7.292,
2010-02,7.262,
2010-03,7.588,
2010-04,7.593,
2010-05,7.518,
2010-06,7.379,
2010-07,7.266,
2010-08,7.459,
2010-09,7.597,
2010-10,7.465,
2010-11,7.969,
2010-12,8.184,
2011-01,8.448,
2011-02,8.529,
2011-03,8.320,
2011-04,8.493,
2011-05,8.117,
2011-06,8.098,
2011-07,8.159,
2011-08,8.750,
2011-09,9.131,
2011-10,9.150,
2011-11,9.302,
2011-12,9.551,
2012-01,9.631,
2012-02,9.219,
2012-03,9.767,
2012-04,9.253,
2012-05,9.241,
2012-06,8.754,
2012-07,9.239,
2012-08,8.234,
2012-09,8.907,
2012-10,8.809,
2012-11,8.675,
2012-12,8.385,
2013-01,10.177,
2013-02,9.348,
2013-03,9.767,
2013-04,10.011,
2013-05,10.442,
2013-06,10.729,
2013-07,10.500,
2013-08,9.838,
2013-09,9.114,
2013-10,9.469,
2013-11,10.702,
2013-12,9.458,
2014-01,8.927,
2014-02,8.968,
2014-03,9.351,
2014-04,9.299,
2014-05,11.898,
2014-06,8.676,
2014-07,9.115,
2014-08,9.154,
2014-09,9.357,
2014-10,9.305,
2014-11,9.909,
2014-12,9.302,
