"",BBK01.OEAA10U,BBK01.OEAA10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:43,
2002-01,2.642,
2002-04,2.620,
2002-07,2.630,
2002-10,2.633,
2003-01,2.629,
2003-04,2.623,
2003-07,2.564,
2003-10,2.489,
2004-01,2.471,
2004-04,2.350,
2004-07,2.373,
2004-10,2.248,
2005-01,2.306,
2005-04,2.262,
2005-07,2.260,
2005-10,2.125,
2006-01,2.145,
2006-04,2.100,
2006-07,2.050,
2006-10,2.027,
2007-01,2.026,
2007-04,2.158,
2007-07,2.056,
2007-10,1.968,
2008-01,2.088,
2008-04,2.111,
2008-07,1.995,
2008-10,1.974,
2009-01,1.962,
2009-04,1.970,
2009-07,1.905,
2009-10,1.727,
2010-01,1.750,
2010-04,1.804,
2010-07,1.673,
2010-10,1.529,
2011-01,1.638,
2011-04,1.665,
2011-07,1.608,
2011-10,1.522,
2012-01,1.609,
2012-04,1.624,
2012-07,1.590,
2012-10,1.514,
2013-01,1.648,
2013-04,1.620,
2013-07,1.647,
2013-10,1.484,
2014-01,1.609,
2014-04,1.640,
2014-07,1.598,
