"",BBK01.OECL05O,BBK01.OECL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:47,
2002-01,0.039,
2002-04,0.040,
2002-07,0.040,
2002-10,0.039,
2003-01,0.043,
2003-04,0.043,
2003-07,0.045,
2003-10,0.044,
2004-01,0.044,
2004-04,0.045,
2004-07,0.044,
2004-10,0.042,
2005-01,0.093,
2005-04,0.092,
2005-07,0.091,
2005-10,0.085,
2006-01,0.080,
2006-04,0.080,
2006-07,0.082,
2006-10,0.081,
2007-01,0.079,
2007-04,0.073,
2007-07,0.072,
2007-10,0.071,
2008-01,0.068,
2008-04,0.068,
2008-07,0.067,
2008-10,0.081,
2009-01,0.087,
2009-04,0.092,
2009-07,0.110,
2009-10,0.113,
2010-01,0.117,
2010-04,0.123,
2010-07,0.124,
2010-10,0.117,
2011-01,0.117,
2011-04,0.105,
2011-07,0.100,
2011-10,0.099,
2012-01,0.102,
2012-04,0.099,
2012-07,0.093,
2012-10,0.088,
2013-01,0.085,
2013-04,0.079,
2013-07,0.080,
2013-10,0.079,
2014-01,0.074,
2014-04,0.072,
2014-07,0.068,
