"",BBK01.OELB06M,BBK01.OELB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:07,
2002-01,4.302,
2002-04,4.403,
2002-07,4.353,
2002-10,4.080,
2003-01,4.034,
2003-04,4.080,
2003-07,3.986,
2003-10,3.680,
2004-01,3.630,
2004-04,3.601,
2004-07,3.505,
2004-10,3.319,
2005-01,3.325,
2005-04,3.308,
2005-07,3.310,
2005-10,3.085,
2006-01,3.191,
2006-04,3.219,
2006-07,3.252,
2006-10,3.021,
2007-01,3.104,
2007-04,3.223,
2007-07,3.220,
2007-10,3.211,
2008-01,3.260,
2008-04,3.363,
2008-07,3.442,
2008-10,3.359,
2009-01,3.483,
2009-04,3.536,
2009-07,3.423,
2009-10,3.171,
2010-01,3.360,
2010-04,3.436,
2010-07,3.414,
2010-10,3.153,
2011-01,3.268,
2011-04,3.415,
2011-07,3.452,
2011-10,3.201,
2012-01,3.336,
2012-04,3.470,
2012-07,3.476,
2012-10,3.313,
2013-01,3.394,
2013-04,3.449,
2013-07,3.388,
2013-10,3.207,
2014-01,3.312,
2014-04,3.464,
2014-07,3.437,
