"",BBK01.CELI09,BBK01.CELI09_FLAGS
"",Listed Shares debtor: Total                                            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:00,
1999-01,8.5,
1999-04,1.7,
1999-07,-4.3,
1999-10,18.0,
2000-01,0.8,
2000-04,15.9,
2000-07,11.4,
2000-10,27.3,
2001-01,9.7,
2001-04,-0.4,
2001-07,-6.3,
2001-10,25.6,
2002-01,2.9,
2002-04,2.7,
2002-07,-2.5,
2002-10,3.6,
2003-01,-5.5,
2003-04,0.0,
2003-07,-15.7,
2003-10,13.5,
2004-01,4.1,
2004-04,-11.2,
2004-07,-9.7,
2004-10,13.7,
2005-01,-6.5,
2005-04,-2.9,
2005-07,-4.8,
2005-10,5.7,
2006-01,6.1,
2006-04,-15.7,
2006-07,-9.8,
2006-10,6.9,
2007-01,-9.6,
2007-04,-22.0,
2007-07,-8.7,
2007-10,-0.7,
2008-01,-6.6,
2008-04,-13.8,
2008-07,-2.6,
2008-10,13.0,
2009-01,1.4,
2009-04,-26.3,
2009-07,-26.2,
2009-10,8.2,
2010-01,-8.5,
2010-04,18.3,
2010-07,-1.6,
2010-10,3.5,
2011-01,-7.3,
2011-04,6.5,
2011-07,30.6,
2011-10,11.0,
2012-01,-13.2,
2012-04,12.9,
2012-07,-30.6,
2012-10,1.0,
2013-01,5.2,
2013-04,3.0,
2013-07,5.1,
2013-10,-0.3,
2014-01,2.2,
2014-04,7.2,
2014-07,-2.7,
