"",BBEX3.M.HRK.USD.CA.AB.A01,BBEX3.M.HRK.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Croatia / USD 1 = HRK ... (selling),
unit,HRK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:51,
1994-05,6.153700,
1994-06,5.884400,
1994-07,5.921000,
1994-08,5.858100,
1994-09,5.741300,
1994-10,5.466800,
1994-11,5.732300,
1994-12,5.660400,
1995-01,5.516900,
1995-02,5.299200,
1995-03,5.037100,
1995-04,4.973000,
1995-05,5.021500,
1995-06,5.060700,
1995-07,5.037700,
1995-08,5.483000,
1995-09,5.304400,
1995-10,5.265400,
1995-11,5.369300,
1995-12,5.357700,
1996-01,5.547200,
1996-02,5.440700,
1996-03,5.535200,
1996-04,5.597700,
1996-05,5.610600,
1996-06,5.454600,
1996-07,5.272000,
1996-08,5.292800,
1996-09,5.453300,
1996-10,5.412700,
1996-11,5.494500,
1996-12,5.563000,
1997-01,5.868500,
1997-02,6.050700,
1997-03,6.010700,
1997-04,6.202900,
1997-05,6.102200,
1997-06,6.195300,
1997-07,6.596700,
1997-08,6.399300,
1997-09,6.280300,
1997-10,6.083800,
1997-11,6.256400,
1997-12,6.336100,
1998-01,6.448900,
1998-02,6.411100,
1998-03,6.537700,
1998-04,6.489100,
1998-05,6.517300,
1998-06,6.632300,
1998-07,6.464500,
1998-08,6.509900,
1998-09,6.224000,
1998-10,6.186500,
1998-11,6.385400,
1998-12,6.306300,
1999-01,6.562400,
1999-02,6.930300,
1999-03,7.151229,
1999-04,7.218801,
1999-05,7.298875,
1999-06,7.392426,
1999-07,7.161499,
1999-08,7.327343,
1999-09,7.310005,
1999-10,7.342303,
1999-11,7.646731,
1999-12,7.727001,
2000-01,7.916880,
2000-02,8.065174,
2000-03,8.149462,
2000-04,8.587075,
2000-05,8.366009,
2000-06,8.127205,
2000-07,8.275364,
2000-08,8.599136,
2000-09,8.626675,
2000-10,8.979205,
2000-11,8.870965,
2000-12,8.262530,
2001-01,8.468080,
2001-02,8.513739,
2001-03,8.827855,
2001-04,8.480764,
2001-05,8.645885,
2001-06,8.757048,
2001-07,8.318088,
2001-08,8.496481,
2001-09,8.362257,
2001-10,8.351187,
2001-11,8.496287,
2001-12,8.472067,
2002-01,8.869109,
2002-02,8.722100,
2002-03,8.588640,
2002-04,8.265633,
2002-05,8.003437,
2002-06,7.441416,
2002-07,7.612077,
2002-08,7.583756,
2002-09,7.601370,
2002-10,7.706151,
2002-11,7.566220,
2002-12,7.218384,
2003-01,7.069185,
2003-02,7.130032,
2003-03,7.238672,
2003-04,6.974606,
2003-05,6.457085,
2003-06,6.672807,
2003-07,6.688079,
2003-08,6.945641,
2003-09,6.734635,
2003-10,6.593355,
2003-11,6.495492,
