"",BBK01.OEXK03L,BBK01.OEXK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:12,
2002-01,0.574,
2002-04,0.579,
2002-07,0.627,
2002-10,0.603,
2003-01,0.484,
2003-04,0.464,
2003-07,0.398,
2003-10,0.400,
2004-01,0.492,
2004-04,0.493,
2004-07,0.500,
2004-10,0.672,
2005-01,0.540,
2005-04,0.535,
2005-07,0.542,
2005-10,0.671,
2006-01,0.797,
2006-04,0.930,
2006-07,1.548,
2006-10,1.682,
2007-01,1.988,
2007-04,2.259,
2007-07,2.611,
2007-10,3.129,
2008-01,3.437,
2008-04,4.075,
2008-07,4.424,
2008-10,4.025,
2009-01,3.210,
2009-04,3.197,
2009-07,2.630,
2009-10,2.233,
2010-01,2.551,
2010-04,2.536,
2010-07,2.935,
2010-10,2.917,
2011-01,2.550,
2011-04,2.679,
2011-07,2.720,
2011-10,2.856,
2012-01,3.149,
2012-04,3.390,
2012-07,3.124,
2012-10,2.898,
2013-01,2.805,
2013-04,2.661,
2013-07,2.351,
2013-10,2.200,
2014-01,2.377,
2014-04,2.642,
2014-07,2.536,
