"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United States / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:43,
2009-09,1229,
2009-10,1039,
2009-11,988,
2009-12,1026,
2010-01,1015,
2010-02,1037,
2010-03,1145,
2010-04,1145,
2010-05,1153,
2010-06,1187,
2010-07,1135,
2010-08,1158,
2010-09,1148,
2010-10,1095,
2010-11,1048,
2010-12,1072,
2011-01,1144,
2011-02,1162,
2011-03,1074,
2011-04,947,
2011-05,910,
2011-06,826,
2011-07,668,
2011-08,661,
2011-09,604,
2011-10,445,
2011-11,411,
2011-12,417,
2012-01,433,
2012-02,514,
2012-03,532,
2012-04,414,
2012-05,418,
2012-06,426,
2012-07,442,
2012-08,453,
2012-09,472,
2012-10,451,
2012-11,411,
2012-12,419,
2013-01,454,
2013-02,429,
2013-03,410,
2013-04,600,
2013-05,588,
2013-06,576,
2013-07,615,
2013-08,641,
2013-09,608,
2013-10,613,
2013-11,681,
2013-12,707,
2014-01,686,
2014-02,698,
2014-03,655,
2014-04,667,
2014-05,651,
2014-06,669,
2014-07,678,
2014-08,673,
2014-09,732,
2014-10,718,
2014-11,758,
