"",BBFN1.M.DE.N.1.A.NO.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:46,
1994-12,1.007,
1995-01,0.972,
1995-02,1.098,
1995-03,1.132,
1995-04,1.126,
1995-05,1.103,
1995-06,1.073,
1995-07,1.097,
1995-08,1.088,
1995-09,1.135,
1995-10,1.187,
1995-11,1.215,
1995-12,1.149,
1996-01,1.080,
1996-02,1.124,
1996-03,1.104,
1996-04,1.116,
1996-05,1.091,
1996-06,1.179,
1996-07,1.144,
1996-08,1.106,
1996-09,1.152,
1996-10,1.120,
1996-11,1.151,
1996-12,1.199,
1997-01,1.174,
1997-02,1.178,
1997-03,1.226,
1997-04,1.123,
1997-05,1.143,
1997-06,1.204,
1997-07,1.148,
1997-08,1.158,
1997-09,1.171,
1997-10,1.228,
1997-11,1.225,
1997-12,1.234,
1998-01,1.207,
1998-02,1.219,
1998-03,1.262,
1998-04,1.310,
1998-05,1.266,
1998-06,1.221,
1998-07,1.262,
1998-08,1.220,
1998-09,1.177,
1998-10,1.144,
1998-11,1.197,
1998-12,1.423,
1999-01,1.157,
1999-02,1.136,
1999-03,1.195,
1999-04,1.242,
1999-05,1.263,
1999-06,1.277,
1999-07,2.473,
1999-08,2.497,
1999-09,2.872,
1999-10,1.762,
1999-11,1.766,
1999-12,1.716,
2000-01,1.729,
2000-02,1.739,
2000-03,1.688,
2000-04,1.645,
2000-05,1.679,
2000-06,1.725,
2000-07,1.721,
2000-08,1.699,
2000-09,1.803,
2000-10,1.780,
2000-11,1.839,
2000-12,1.739,
2001-01,1.708,
2001-02,1.782,
2001-03,1.833,
2001-04,1.828,
2001-05,2.092,
2001-06,2.100,
2001-07,2.060,
2001-08,1.492,
2001-09,1.610,
2001-10,1.581,
2001-11,1.707,
2001-12,1.615,
2002-01,1.523,
2002-02,1.564,
2002-03,1.400,
2002-04,1.415,
2002-05,1.469,
2002-06,1.443,
2002-07,1.443,
2002-08,1.469,
2002-09,1.519,
2002-10,1.317,
2002-11,1.327,
2002-12,1.453,
2003-01,1.373,
2003-02,1.476,
2003-03,1.587,
2003-04,1.561,
2003-05,1.905,
2003-06,1.819,
2003-07,1.737,
2003-08,1.754,
2003-09,1.447,
2003-10,1.325,
2003-11,1.434,
2003-12,1.483,
2004-01,1.309,
2004-02,1.391,
2004-03,1.297,
2004-04,1.350,
2004-05,1.541,
2004-06,1.994,
2004-07,2.061,
2004-08,2.032,
2004-09,2.148,
2004-10,2.239,
2004-11,2.360,
2004-12,1.765,
2005-01,1.644,
2005-02,1.653,
2005-03,1.704,
2005-04,1.860,
2005-05,1.613,
2005-06,1.617,
2005-07,1.589,
2005-08,1.557,
2005-09,2.065,
2005-10,2.144,
2005-11,1.839,
2005-12,2.164,
2006-01,2.185,
2006-02,2.944,
2006-03,2.946,
2006-04,2.959,
2006-05,2.793,
2006-06,2.351,
2006-07,2.521,
2006-08,2.188,
2006-09,2.344,
2006-10,2.452,
2006-11,2.825,
2006-12,2.720,
2007-01,2.705,
2007-02,3.096,
2007-03,3.413,
2007-04,3.423,
2007-05,4.063,
2007-06,4.273,
2007-07,4.327,
2007-08,4.292,
2007-09,4.535,
2007-10,4.439,
2007-11,4.409,
2007-12,4.394,
2008-01,4.506,
2008-02,4.809,
2008-03,4.915,
2008-04,5.248,
2008-05,5.727,
2008-06,5.564,
2008-07,5.717,
2008-08,5.867,
2008-09,6.158,
2008-10,5.937,
2008-11,6.117,
2008-12,6.027,
2009-01,6.341,
2009-02,6.441,
2009-03,6.339,
2009-04,6.564,
2009-05,6.677,
2009-06,7.019,
2009-07,7.274,
2009-08,7.327,
2009-09,7.039,
2009-10,7.173,
2009-11,6.926,
2009-12,6.906,
2010-01,7.079,
2010-02,7.456,
2010-03,8.179,
2010-04,8.317,
2010-05,8.153,
2010-06,8.204,
2010-07,8.278,
2010-08,8.440,
2010-09,8.650,
2010-10,8.930,
2010-11,8.674,
2010-12,8.618,
2011-01,9.471,
2011-02,9.459,
2011-03,9.530,
2011-04,9.122,
2011-05,10.085,
2011-06,9.742,
2011-07,10.319,
2011-08,10.294,
2011-09,10.412,
2011-10,10.935,
2011-11,11.113,
2011-12,10.517,
2012-01,10.639,
2012-02,10.998,
2012-03,11.654,
2012-04,11.217,
2012-05,11.697,
2012-06,11.438,
2012-07,11.804,
2012-08,12.362,
2012-09,12.376,
2012-10,12.401,
2012-11,12.337,
2012-12,12.017,
2013-01,12.275,
2013-02,12.536,
2013-03,13.093,
2013-04,13.359,
2013-05,13.240,
2013-06,12.431,
2013-07,12.301,
2013-08,12.497,
2013-09,12.565,
2013-10,13.261,
2013-11,13.470,
2013-12,12.730,
2014-01,12.892,
2014-02,12.744,
2014-03,13.257,
2014-04,13.692,
2014-05,13.455,
2014-06,13.406,
2014-07,13.264,
2014-08,13.251,
2014-09,13.118,
2014-10,13.172,
2014-11,13.333,
2014-12,13.296,
