"",BBK01.OELL07G,BBK01.OELL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:19,
2002-01,34.962,
2002-04,34.518,
2002-07,34.737,
2002-10,35.760,
2003-01,35.669,
2003-04,35.471,
2003-07,35.403,
2003-10,36.350,
2004-01,36.843,
2004-04,36.812,
2004-07,36.670,
2004-10,37.367,
2005-01,37.596,
2005-04,37.242,
2005-07,36.909,
2005-10,37.491,
2006-01,37.244,
2006-04,36.676,
2006-07,36.133,
2006-10,35.975,
2007-01,34.884,
2007-04,33.662,
2007-07,32.651,
2007-10,32.616,
2008-01,31.336,
2008-04,30.167,
2008-07,29.165,
2008-10,29.897,
2009-01,31.010,
2009-04,31.612,
2009-07,32.942,
2009-10,35.803,
2010-01,37.565,
2010-04,37.774,
2010-07,38.073,
2010-10,38.746,
2011-01,39.689,
2011-04,39.463,
2011-07,39.325,
2011-10,39.504,
2012-01,39.308,
2012-04,38.813,
2012-07,39.187,
2012-10,39.814,
2013-01,40.237,
2013-04,39.944,
2013-07,40.157,
2013-10,40.852,
2014-01,41.011,
2014-04,40.621,
2014-07,41.308,
