"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment - Debt instruments (FDI) - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:54,
1999-10,-99899,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-180642,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-209633,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-244260,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-249805,
2004-01,-217750,
2004-04,-224045,
2004-07,-215775,
2004-10,-213519,
2005-01,-208695,
2005-04,-205465,
2005-07,-205353,
2005-10,-202970,
2006-01,-195919,
2006-04,-200255,
2006-07,-210001,
2006-10,-240988,
2007-01,-238894,
2007-04,-237106,
2007-07,-237936,
2007-10,-245821,
2008-01,-225696,
2008-04,-225460,
2008-07,-229350,
2008-10,-205363,
2009-01,-218013,
2009-04,-233196,
2009-07,-243548,
2009-10,-212189,
2010-01,-200026,
2010-04,-188072,
2010-07,-205117,
2010-10,-233039,
2011-01,-224010,
2011-04,-241284,
2011-07,-246579,
2011-10,-248578,
2012-01,-237125,
2012-04,-251524,
2012-07,-263212,
2012-10,-282007,
2013-01,-275141,
2013-04,-276705,
2013-07,-278392,
2013-10,-288934,
2014-01,-282596,
2014-04,-292058,
2014-07,-278992,
