"",BBSF2.M.1.S.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:14:47,
1969-01,0,
1969-02,6,
1969-03,7,
1969-04,9,
1969-05,23,
1969-06,36,
1969-07,52,
1969-08,11,
1969-09,3,
1969-10,50,
1969-11,28,
1969-12,48,
1970-01,22,
1970-02,9,
1970-03,6,
1970-04,2,
1970-05,7,
1970-06,4,
1970-07,8,
1970-08,15,
1970-09,5,
1970-10,12,
1970-11,11,
1970-12,22,
1971-01,6,
1971-02,5,
1971-03,18,
1971-04,12,
1971-05,1,
1971-06,11,
1971-07,6,
1971-08,2,
1971-09,9,
1971-10,13,
1971-11,8,
1971-12,39,
1972-01,36,
1972-02,26,
1972-03,13,
1972-04,11,
1972-05,31,
1972-06,56,
1972-07,13,
1972-08,9,
1972-09,8,
1972-10,14,
1972-11,24,
1972-12,52,
1973-01,55,
1973-02,16,
1973-03,20,
1973-04,18,
1973-05,22,
1973-06,26,
1973-07,34,
1973-08,9,
1973-09,18,
1973-10,19,
1973-11,43,
1973-12,20,
1974-01,16,
1974-02,24,
1974-03,20,
1974-04,10,
1974-05,36,
1974-06,13,
1974-07,40,
1974-08,24,
1974-09,13,
1974-10,30,
1974-11,48,
1974-12,135,
1975-01,153,
1975-02,59,
1975-03,17,
1975-04,32,
1975-05,54,
1975-06,38,
1975-07,40,
1975-08,25,
1975-09,26,
1975-10,74,
1975-11,67,
1975-12,135,
1976-01,92,
1976-02,27,
1976-03,74,
1976-04,38,
1976-05,78,
1976-06,39,
1976-07,24,
1976-08,36,
1976-09,17,
1976-10,65,
1976-11,82,
1976-12,109,
1977-01,72,
1977-02,27,
1977-03,114,
1977-04,82,
1977-05,63,
1977-06,47,
1977-07,69,
1977-08,72,
1977-09,42,
1977-10,144,
1977-11,176,
1977-12,168,
1978-01,131,
1978-02,85,
1978-03,89,
1978-04,84,
1978-05,98,
1978-06,131,
1978-07,63,
1978-08,55,
1978-09,99,
1978-10,132,
1978-11,106,
1978-12,94,
1979-01,222,
1979-02,75,
1979-03,62,
1979-04,66,
1979-05,58,
1979-06,65,
1979-07,83,
1979-08,57,
1979-09,57,
1979-10,60,
1979-11,148,
1979-12,165,
1980-01,166,
1980-02,102,
1980-03,90,
1980-04,81,
1980-05,60,
1980-06,79,
1980-07,147,
1980-08,47,
1980-09,37,
1980-10,70,
1980-11,125,
1980-12,135,
1981-01,103,
1981-02,93,
1981-03,24,
1981-04,80,
1981-05,88,
1981-06,61,
1981-07,90,
1981-08,51,
1981-09,122,
1981-10,131,
1981-11,253,
1981-12,208,
1982-01,190,
1982-02,190,
1982-03,208,
1982-04,132,
1982-05,73,
1982-06,73,
1982-07,110,
1982-08,107,
1982-09,86,
1982-10,350,
1982-11,177,
1982-12,251,
1983-01,240,
1983-02,150,
1983-03,171,
1983-04,125,
1983-05,84,
1983-06,124,
1983-07,147,
1983-08,30,
1983-09,84,
1983-10,174,
1983-11,231,
1983-12,335,
1984-01,344,
1984-02,247,
1984-03,113,
1984-04,109,
1984-05,88,
1984-06,147,
1984-07,169,
1984-08,73,
1984-09,129,
1984-10,349,
1984-11,186,
1984-12,395,
1985-01,461,
1985-02,473,
1985-03,127,
1985-04,182,
1985-05,266,
1985-06,175,
1985-07,271,
1985-08,111,
1985-09,202,
1985-10,394,
1985-11,417,
1985-12,682,
1986-01,807,
1986-02,431,
1986-03,547,
1986-04,541,
1986-05,304,
1986-06,372,
1986-07,373,
1986-08,314,
1986-09,191,
1986-10,476,
1986-11,525,
1986-12,1402,
1987-01,773,
1987-02,655,
1987-03,962,
1987-04,674,
1987-05,695,
1987-06,379,
1987-07,579,
1987-08,409,
1987-09,418,
1987-10,928,
1987-11,919,
1987-12,1334,
1988-01,779,
1988-02,448,
1988-03,516,
1988-04,852,
1988-05,302,
1988-06,523,
1988-07,954,
1988-08,511,
1988-09,366,
1988-10,412,
1988-11,765,
1988-12,1565,
1989-01,1056,
1989-02,672,
1989-03,168,
1989-04,768,
1989-05,424,
1989-06,645,
1989-07,683,
1989-08,555,
1989-09,575,
1989-10,842,
1989-11,686,
1989-12,1536,
1990-01,1298,
1990-02,1028,
1990-03,791,
1990-04,693,
1990-05,400,
1990-06,334,
1990-07,472,
1990-08,981,
1990-09,545,
1990-10,551,
1990-11,871,
1990-12,1726,
1991-01,1281,
1991-02,999,
1991-03,952,
1991-04,649,
1991-05,1229,
1991-06,357,
1991-07,1513,
1991-08,650,
1991-09,822,
1991-10,698,
1991-11,953,
1991-12,2042,
1992-01,1882,
1992-02,1376,
1992-03,606,
1992-04,798,
1992-05,909,
1992-06,641,
1992-07,1305,
1992-08,414,
1992-09,557,
1992-10,465,
1992-11,389,
1992-12,2713,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,-176,
1993-05,993,
1993-06,836,
1993-07,1721,
1993-08,2280,
1993-09,1046,
1993-10,1995,
1993-11,1326,
1993-12,4420,
1994-01,2964,
1994-02,2466,
1994-03,1872,
1994-04,3419,
1994-05,1208,
1994-06,2682,
1994-07,1792,
1994-08,1261,
1994-09,-39,
1994-10,1822,
1994-11,278,
1994-12,3619,
1995-01,2266,
1995-02,1753,
1995-03,1898,
1995-04,798,
1995-05,461,
1995-06,460,
1995-07,1398,
1995-08,393,
1995-09,1847,
1995-10,321,
1995-11,1718,
1995-12,5756,
1996-01,4468,
1996-02,3658,
1996-03,2435,
1996-04,2033,
1996-05,1465,
1996-06,2227,
1996-07,2101,
1996-08,1472,
1996-09,358,
1996-10,3432,
1996-11,1962,
1996-12,6389,
1997-01,5412,
1997-02,4680,
1997-03,3897,
1997-04,3448,
1997-05,1548,
1997-06,6270,
1997-07,4351,
1997-08,4869,
1997-09,3156,
1997-10,4242,
1997-11,1269,
1997-12,11791,
1998-01,7995,
1998-02,4942,
1998-03,5339,
1998-04,4060,
1998-05,4544,
1998-06,3231,
1998-07,5922,
1998-08,6214,
1998-09,4567,
1998-10,3959,
1998-11,2612,
1998-12,13468,
1999-01,7497,
1999-02,4185,
1999-03,3055,
1999-04,5715,
1999-05,5774,
1999-06,2827,
1999-07,3223,
1999-08,3218,
1999-09,1281,
1999-10,3283,
1999-11,3286,
1999-12,16169,
2000-01,7738,
2000-02,-1080,
2000-03,2883,
2000-04,3722,
2000-05,4205,
2000-06,590,
2000-07,3389,
2000-08,2712,
2000-09,3395,
2000-10,2897,
2000-11,812,
2000-12,14184,
2001-01,8423,
2001-02,3301,
2001-03,492,
2001-04,1580,
2001-05,-244,
2001-06,1551,
2001-07,3574,
2001-08,1662,
2001-09,632,
2001-10,3721,
2001-11,964,
2001-12,15630,
2002-01,4384,
2002-02,2417,
2002-03,-1795,
2002-04,6199,
2002-05,2472,
2002-06,2456,
2002-07,1811,
2002-08,3298,
2002-09,2330,
2002-10,5399,
2002-11,2385,
2002-12,2218,
2003-01,4575,
2003-02,1271,
2003-03,2099,
2003-04,2300,
2003-05,3036,
2003-06,1443,
2003-07,158,
2003-08,675,
2003-09,3129,
2003-10,301,
2003-11,785,
2003-12,4093,
2004-01,1447,
2004-02,36,
2004-03,1365,
2004-04,1207,
2004-05,-1555,
2004-06,453,
2004-07,-2056,
2004-08,-449,
2004-09,-2400,
2004-10,248,
2004-11,1126,
2004-12,6008,
2005-01,3845,
2005-02,2219,
2005-03,2874,
2005-04,914,
2005-05,1163,
2005-06,4079,
2005-07,3226,
2005-08,2245,
2005-09,809,
2005-10,3191,
2005-11,1501,
2005-12,9252,
2006-01,4623,
2006-02,3147,
2006-03,3688,
2006-04,3312,
2006-05,4242,
2006-06,2126,
2006-07,474,
2006-08,214,
2006-09,5010,
2006-10,-459,
2006-11,1269,
2006-12,6146,
2007-01,5902,
2007-02,3621,
2007-03,2817,
2007-04,3922,
2007-05,-3382,
2007-06,465,
2007-07,420,
2007-08,226,
2007-09,-1875,
2007-10,2997,
2007-11,-1788,
2007-12,7982,
2008-01,-6650,
2008-02,405,
2008-03,2283,
