"",BBK01.OEAD03K,BBK01.OEAD03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:32,
2002-01,0.331,
2002-04,0.313,
2002-07,0.323,
2002-10,0.319,
2003-01,0.306,
2003-04,0.328,
2003-07,0.317,
2003-10,0.284,
2004-01,0.286,
2004-04,0.293,
2004-07,0.262,
2004-10,0.217,
2005-01,0.251,
2005-04,0.263,
2005-07,0.276,
2005-10,0.258,
2006-01,0.214,
2006-04,0.206,
2006-07,0.176,
2006-10,0.186,
2007-01,0.194,
2007-04,0.191,
2007-07,0.191,
2007-10,0.188,
2008-01,0.202,
2008-04,0.201,
2008-07,0.204,
2008-10,0.154,
2009-01,0.149,
2009-04,0.143,
2009-07,0.118,
2009-10,0.112,
2010-01,0.109,
2010-04,0.117,
2010-07,0.101,
2010-10,0.107,
2011-01,0.108,
2011-04,0.105,
2011-07,0.120,
2011-10,0.119,
2012-01,0.116,
2012-04,0.122,
2012-07,0.131,
2012-10,0.117,
2013-01,0.128,
2013-04,0.131,
2013-07,0.102,
2013-10,0.102,
2014-01,0.107,
2014-04,0.126,
2014-07,0.127,
