"",BBK01.OEAF03H,BBK01.OEAF03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:54,
2002-01,145.108,
2002-04,143.984,
2002-07,144.466,
2002-10,145.079,
2003-01,144.919,
2003-04,144.754,
2003-07,142.966,
2003-10,143.176,
2004-01,141.234,
2004-04,141.288,
2004-07,141.490,
2004-10,141.044,
2005-01,141.524,
2005-04,141.193,
2005-07,141.219,
2005-10,140.963,
2006-01,140.364,
2006-04,139.358,
2006-07,139.319,
2006-10,137.909,
2007-01,136.262,
2007-04,135.092,
2007-07,134.300,
2007-10,129.302,
2008-01,127.143,
2008-04,125.960,
2008-07,124.810,
2008-10,123.106,
2009-01,121.437,
2009-04,109.341,
2009-07,109.512,
2009-10,108.421,
2010-01,108.211,
2010-04,108.677,
2010-07,109.150,
2010-10,109.987,
2011-01,109.123,
2011-04,109.618,
2011-07,110.522,
2011-10,110.892,
2012-01,110.998,
2012-04,112.130,
2012-07,113.675,
2012-10,114.381,
2013-01,115.075,
2013-04,116.716,
2013-07,118.011,
2013-10,119.215,
2014-01,119.552,
2014-04,121.115,
2014-07,123.211,
