"",BBK01.CEL230,BBK01.CEL230_FLAGS
"",Currency and deposits                                              debtor: Monetary Financial Institut   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:30,
1999-01,16.4,
1999-04,50.5,
1999-07,75.4,
1999-10,84.6,
2000-01,79.6,
2000-04,-13.2,
2000-07,2.8,
2000-10,154.1,
2001-01,101.2,
2001-04,-11.6,
2001-07,29.0,
2001-10,-17.3,
2002-01,-72.4,
2002-04,50.7,
2002-07,47.0,
2002-10,117.5,
2003-01,35.1,
2003-04,56.0,
2003-07,-52.3,
2003-10,56.9,
2004-01,25.4,
2004-04,34.9,
2004-07,42.4,
2004-10,65.2,
2005-01,69.0,
2005-04,56.2,
2005-07,21.6,
2005-10,13.3,
2006-01,72.1,
2006-04,78.8,
2006-07,38.4,
2006-10,78.2,
2007-01,80.0,
2007-04,65.7,
2007-07,136.7,
2007-10,199.1,
2008-01,25.2,
2008-04,24.0,
2008-07,227.5,
2008-10,102.3,
2009-01,-189.9,
2009-04,130.5,
2009-07,-220.8,
2009-10,-51.3,
2010-01,51.1,
2010-04,233.2,
2010-07,-233.0,
2010-10,34.2,
2011-01,-106.8,
2011-04,-18.3,
2011-07,262.3,
2011-10,10.2,
2012-01,439.6,
2012-04,94.1,
2012-07,-84.9,
2012-10,-244.6,
2013-01,-173.4,
2013-04,-44.3,
2013-07,-101.2,
2013-10,-84.6,
2014-01,-24.8,
2014-04,13.4,
2014-07,35.4,
