"",BBK01.OEAD26L,BBK01.OEAD26L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:00,
2002-01,0.331,
2002-04,0.215,
2002-07,0.380,
2002-10,0.381,
2003-01,0.367,
2003-04,0.412,
2003-07,0.414,
2003-10,0.403,
2004-01,0.407,
2004-04,0.377,
2004-07,0.402,
2004-10,0.443,
2005-01,0.354,
2005-04,0.366,
2005-07,0.365,
2005-10,0.317,
2006-01,0.308,
2006-04,0.349,
2006-07,1.186,
2006-10,0.864,
2007-01,0.756,
2007-04,0.631,
2007-07,0.670,
2007-10,0.733,
2008-01,1.932,
2008-04,1.413,
2008-07,1.641,
2008-10,2.956,
2009-01,3.432,
2009-04,3.361,
2009-07,3.260,
2009-10,3.560,
2010-01,3.256,
2010-04,3.213,
2010-07,3.157,
2010-10,3.523,
2011-01,2.996,
2011-04,2.525,
2011-07,2.315,
2011-10,2.816,
2012-01,2.730,
2012-04,2.040,
2012-07,1.419,
2012-10,0.903,
2013-01,0.851,
2013-04,0.835,
2013-07,0.838,
2013-10,0.897,
2014-01,0.900,
2014-04,0.899,
2014-07,0.835,
