"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Japan / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:12,
2009-09,331,
2009-10,304,
2009-11,356,
2009-12,320,
2010-01,349,
2010-02,343,
2010-03,334,
2010-04,320,
2010-05,356,
2010-06,361,
2010-07,353,
2010-08,378,
2010-09,488,
2010-10,502,
2010-11,478,
2010-12,514,
2011-01,495,
2011-02,490,
2011-03,464,
2011-04,468,
2011-05,370,
2011-06,364,
2011-07,374,
2011-08,369,
2011-09,382,
2011-10,386,
2011-11,457,
2011-12,449,
2012-01,459,
2012-02,417,
2012-03,389,
2012-04,434,
2012-05,458,
2012-06,442,
2012-07,467,
2012-08,463,
2012-09,459,
2012-10,449,
2012-11,428,
2012-12,404,
2013-01,305,
2013-02,317,
2013-03,327,
2013-04,318,
2013-05,297,
2013-06,321,
2013-07,282,
2013-08,282,
2013-09,286,
2013-10,253,
2013-11,211,
2013-12,208,
2014-01,220,
2014-02,215,
2014-03,217,
2014-04,223,
2014-05,233,
2014-06,232,
2014-07,243,
2014-08,243,
2014-09,238,
2014-10,247,
2014-11,267,
