"",BBEX3.M.SEK.EUR.CA.AC.A01,BBEX3.M.SEK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Sweden / EUR 1 = SEK ... (middle),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:48,
1999-01,8.87200,
1999-02,9.00900,
1999-03,8.91050,
1999-04,8.90750,
1999-05,8.97450,
1999-06,8.74400,
1999-07,8.78500,
1999-08,8.73500,
1999-09,8.70750,
1999-10,8.67750,
1999-11,8.58950,
1999-12,8.56350,
2000-01,8.58550,
2000-02,8.42450,
2000-03,8.30200,
2000-04,8.14450,
2000-05,8.36550,
2000-06,8.41800,
2000-07,8.49000,
2000-08,8.43600,
2000-09,8.52500,
2000-10,8.48550,
2000-11,8.70450,
2000-12,8.85700,
2001-01,8.85050,
2001-02,9.07800,
2001-03,9.15950,
2001-04,9.09100,
2001-05,9.13400,
2001-06,9.18500,
2001-07,9.24400,
2001-08,9.53200,
2001-09,9.74650,
2001-10,9.59450,
2001-11,9.46450,
2001-12,9.42400,
2002-01,9.17950,
2002-02,9.09150,
2002-03,9.03775,
2002-04,9.23625,
2002-05,9.12875,
2002-06,9.09175,
2002-07,9.25275,
2002-08,9.17025,
2002-09,9.13775,
2002-10,9.08725,
2002-11,9.07975,
2002-12,9.20175,
2003-01,9.20875,
2003-02,9.13225,
2003-03,9.23975,
2003-04,9.12375,
2003-05,9.15075,
2003-06,9.17225,
2003-07,9.19225,
2003-08,9.21675,
2003-09,8.92275,
2003-10,9.05325,
2003-11,9.01775,
2003-12,9.10325,
2004-01,9.18725,
2004-02,9.22675,
2004-03,9.27275,
2004-04,9.14725,
2004-05,9.10875,
2004-06,9.14225,
2004-07,9.24175,
2004-08,9.14025,
2004-09,9.07775,
2004-10,9.07025,
2004-11,8.93425,
2004-12,9.01625,
2005-01,9.11425,
2005-02,9.05675,
2005-03,9.14725,
2005-04,9.17725,
2005-05,9.17325,
2005-06,9.44775,
2005-07,9.39525,
2005-08,9.36525,
2005-09,9.34975,
2005-10,9.55575,
2005-11,9.53625,
2005-12,9.43925,
2006-01,9.24075,
2006-02,9.47225,
2006-03,9.40675,
2006-04,9.30825,
2006-05,9.27825,
2006-06,9.23325,
2006-07,9.24275,
2006-08,9.25575,
2006-09,9.27575,
2006-10,9.23375,
2006-11,9.08425,
2006-12,9.05925,
2007-01,9.05725,
2007-02,9.27275,
2007-03,9.33825,
2007-04,9.16775,
2007-05,9.30925,
2007-06,9.25275,
2007-07,9.19625,
2007-08,9.36775,
2007-09,9.22075,
2007-10,9.20225,
2007-11,9.39775,
2007-12,9.48275,
2008-01,9.44525,
2008-02,9.39175,
2008-03,9.40125,
2008-04,9.37625,
2008-05,9.34675,
2008-06,9.46225,
2008-07,9.46775,
2008-08,9.45075,
2008-09,9.77225,
2008-10,9.88325,
2008-11,10.32175,
2008-12,10.94475,
2009-01,10.62925,
2009-02,11.46725,
2009-03,10.98575,
2009-04,10.67225,
2009-05,10.74025,
2009-06,10.85475,
2009-07,10.40675,
2009-08,10.19825,
2009-09,10.24425,
2009-10,10.39775,
2009-11,10.47125,
2009-12,10.36225,
2010-01,10.25125,
2010-02,9.74075,
2010-03,9.74775,
2010-04,9.61825,
2010-05,9.64175,
2010-06,9.50975,
2010-07,9.45875,
2010-08,9.41075,
2010-09,9.16925,
2010-10,9.40775,
2010-11,9.19275,
2010-12,9.01125,
2011-01,8.90725,
2011-02,8.82725,
2011-03,8.94725,
2011-04,8.92025,
2011-05,8.89225,
2011-06,9.15595,
2011-07,9.10055,
2011-08,9.17725,
2011-09,9.27805,
2011-10,9.03335,
2011-11,9.20065,
2011-12,8.95395,
2012-01,8.90675,
2012-02,8.83875,
2012-03,8.85285,
2012-04,8.90965,
2012-05,8.98305,
2012-06,8.77525,
2012-07,8.35525,
2012-08,8.36075,
2012-09,8.44765,
2012-10,8.62845,
2012-11,8.66435,
2012-12,8.62585,
2013-01,8.63125,
2013-02,8.46465,
2013-03,8.34735,
2013-04,8.58455,
2013-05,8.58845,
2013-06,8.76695,
2013-07,8.71985,
2013-08,8.73705,
2013-09,8.68495,
2013-10,8.81175,
2013-11,8.94675,
2013-12,8.95225,
2014-01,8.85585,
2014-02,8.91025,
2014-03,8.95745,
2014-04,9.07665,
2014-05,9.07085,
2014-06,9.20575,
2014-07,9.23765,
2014-08,9.19215,
2014-09,9.19075,
2014-10,9.24565,
2014-11,9.27855,
2014-12,9.52475,
2015-01,9.38655,
2015-02,9.39265,
"","Source: Calculated on the basis of the buying and selling rates of the Skandinaviska Enskilda Banken, Stockholm.",
