"",BBK01.OEAF07M,BBK01.OEAF07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:27,
2002-01,2.155,
2002-04,2.218,
2002-07,2.305,
2002-10,2.183,
2003-01,2.057,
2003-04,2.051,
2003-07,2.104,
2003-10,1.976,
2004-01,1.824,
2004-04,1.819,
2004-07,1.842,
2004-10,1.721,
2005-01,1.699,
2005-04,1.740,
2005-07,1.821,
2005-10,1.718,
2006-01,1.621,
2006-04,1.678,
2006-07,1.681,
2006-10,1.582,
2007-01,1.500,
2007-04,1.493,
2007-07,1.523,
2007-10,1.488,
2008-01,1.474,
2008-04,1.471,
2008-07,1.514,
2008-10,1.450,
2009-01,1.389,
2009-04,1.394,
2009-07,1.403,
2009-10,1.341,
2010-01,1.319,
2010-04,1.313,
2010-07,1.381,
2010-10,1.250,
2011-01,1.236,
2011-04,1.223,
2011-07,1.264,
2011-10,1.147,
2012-01,1.111,
2012-04,1.086,
2012-07,1.117,
2012-10,1.098,
2013-01,1.070,
2013-04,1.048,
2013-07,1.085,
2013-10,1.050,
2014-01,1.034,
2014-04,0.991,
2014-07,1.029,
