"",BBSF2.M.1.P.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:12,
2009-09,32490,
2009-10,31749,
2009-11,32099,
2009-12,34138,
2010-01,31022,
2010-02,31621,
2010-03,34405,
2010-04,33894,
2010-05,38582,
2010-06,33053,
2010-07,34036,
2010-08,33009,
2010-09,35139,
2010-10,38059,
2010-11,39233,
2010-12,41671,
2011-01,42159,
2011-02,42864,
2011-03,43072,
2011-04,45629,
2011-05,45737,
2011-06,45883,
2011-07,47571,
2011-08,39147,
2011-09,37133,
2011-10,41836,
2011-11,40490,
2011-12,40118,
2012-01,43631,
2012-02,46280,
2012-03,46616,
2012-04,41792,
2012-05,41236,
2012-06,41555,
2012-07,44330,
2012-08,44932,
2012-09,46128,
2012-10,45999,
2012-11,46812,
2012-12,48376,
2013-01,48962,
2013-02,48935,
2013-03,48883,
2013-04,48521,
2013-05,50590,
2013-06,48216,
2013-07,50182,
2013-08,48821,
2013-09,51231,
2013-10,53753,
2013-11,56057,
2013-12,56957,
2014-01,54829,
2014-02,56889,
2014-03,55924,
2014-04,55076,
2014-05,57073,
2014-06,56161,
2014-07,53426,
2014-08,54090,
2014-09,50761,
2014-10,49298,
2014-11,50258,
