"",BBK01.OEBL07P,BBK01.OEBL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:54,
2002-01,0.462,
2002-04,0.416,
2002-07,0.411,
2002-10,0.427,
2003-01,0.421,
2003-04,0.431,
2003-07,0.464,
2003-10,0.466,
2004-01,0.450,
2004-04,0.446,
2004-07,0.456,
2004-10,0.490,
2005-01,0.865,
2005-04,0.870,
2005-07,0.878,
2005-10,0.889,
2006-01,0.880,
2006-04,0.865,
2006-07,0.832,
2006-10,0.824,
2007-01,0.862,
2007-04,0.869,
2007-07,0.892,
2007-10,0.939,
2008-01,0.952,
2008-04,0.963,
2008-07,0.944,
2008-10,1.037,
2009-01,1.048,
2009-04,1.080,
2009-07,1.128,
2009-10,1.115,
2010-01,1.101,
2010-04,1.090,
2010-07,1.090,
2010-10,1.163,
2011-01,1.157,
2011-04,1.118,
2011-07,1.106,
2011-10,1.111,
2012-01,1.146,
2012-04,1.120,
2012-07,1.095,
2012-10,1.081,
2013-01,1.037,
2013-04,1.002,
2013-07,0.971,
2013-10,0.959,
2014-01,0.924,
2014-04,0.903,
2014-07,0.943,
