"",BBK01.OEAH74Q,BBK01.OEAH74Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:24,
2002-01,0.610,
2002-04,0.566,
2002-07,0.553,
2002-10,0.472,
2003-01,0.473,
2003-04,0.415,
2003-07,0.417,
2003-10,0.435,
2004-01,0.378,
2004-04,0.381,
2004-07,0.353,
2004-10,0.897,
2005-01,0.458,
2005-04,0.529,
2005-07,0.507,
2005-10,0.616,
2006-01,0.680,
2006-04,1.247,
2006-07,1.218,
2006-10,1.710,
2007-01,1.578,
2007-04,2.335,
2007-07,2.439,
2007-10,2.766,
2008-01,2.763,
2008-04,2.825,
2008-07,3.521,
2008-10,3.467,
2009-01,3.448,
2009-04,2.763,
2009-07,2.769,
2009-10,2.829,
2010-01,2.737,
2010-04,2.683,
2010-07,3.154,
2010-10,2.613,
2011-01,1.780,
2011-04,1.920,
2011-07,2.982,
2011-10,3.835,
2012-01,3.283,
2012-04,3.493,
2012-07,3.597,
2012-10,4.141,
2013-01,4.468,
2013-04,5.232,
2013-07,4.939,
2013-10,3.770,
2014-01,4.979,
2014-04,4.592,
2014-07,4.028,
