"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Portugal / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:00,
2009-09,439,
2009-10,443,
2009-11,475,
2009-12,469,
2010-01,507,
2010-02,533,
2010-03,598,
2010-04,554,
2010-05,540,
2010-06,541,
2010-07,503,
2010-08,510,
2010-09,488,
2010-10,483,
2010-11,448,
2010-12,424,
2011-01,408,
2011-02,399,
2011-03,370,
2011-04,353,
2011-05,333,
2011-06,317,
2011-07,259,
2011-08,242,
2011-09,218,
2011-10,210,
2011-11,200,
2011-12,197,
2012-01,149,
2012-02,149,
2012-03,129,
2012-04,115,
2012-05,114,
2012-06,102,
2012-07,71,
2012-08,70,
2012-09,71,
2012-10,74,
2012-11,95,
2012-12,101,
2013-01,140,
2013-02,138,
2013-03,150,
2013-04,108,
2013-05,106,
2013-06,82,
2013-07,78,
2013-08,79,
2013-09,82,
2013-10,84,
2013-11,115,
2013-12,115,
2014-01,160,
2014-02,200,
2014-03,226,
2014-04,266,
2014-05,277,
2014-06,338,
2014-07,341,
2014-08,342,
2014-09,348,
2014-10,341,
2014-11,318,
