"",BBK01.OEAF16G,BBK01.OEAF16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:46,
2002-01,0.254,
2002-04,0.269,
2002-07,0.281,
2002-10,0.315,
2003-01,0.265,
2003-04,0.250,
2003-07,0.279,
2003-10,0.285,
2004-01,0.266,
2004-04,0.313,
2004-07,0.285,
2004-10,0.266,
2005-01,0.243,
2005-04,0.217,
2005-07,0.201,
2005-10,0.173,
2006-01,0.162,
2006-04,0.172,
2006-07,0.185,
2006-10,0.167,
2007-01,0.200,
2007-04,0.180,
2007-07,0.185,
2007-10,0.179,
2008-01,0.188,
2008-04,0.270,
2008-07,0.165,
2008-10,0.261,
2009-01,0.488,
2009-04,0.615,
2009-07,0.505,
2009-10,0.490,
2010-01,0.481,
2010-04,0.484,
2010-07,0.467,
2010-10,0.464,
2011-01,0.474,
2011-04,0.461,
2011-07,0.469,
2011-10,0.552,
2012-01,0.454,
2012-04,0.449,
2012-07,0.448,
2012-10,0.441,
2013-01,0.423,
2013-04,0.420,
2013-07,0.415,
2013-10,0.413,
2014-01,0.408,
2014-04,0.406,
2014-07,0.391,
