"",BBK01.OEHL01G,BBK01.OEHL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:26,
2002-01,64.906,
2002-04,64.903,
2002-07,64.660,
2002-10,65.743,
2003-01,66.101,
2003-04,66.094,
2003-07,65.899,
2003-10,66.905,
2004-01,67.047,
2004-04,67.058,
2004-07,66.793,
2004-10,67.618,
2005-01,67.637,
2005-04,67.757,
2005-07,67.581,
2005-10,68.231,
2006-01,68.513,
2006-04,68.576,
2006-07,68.245,
2006-10,68.664,
2007-01,68.471,
2007-04,68.478,
2007-07,68.256,
2007-10,69.728,
2008-01,69.212,
2008-04,69.235,
2008-07,68.867,
2008-10,71.839,
2009-01,72.543,
2009-04,73.020,
2009-07,73.010,
2009-10,74.922,
2010-01,75.724,
2010-04,76.290,
2010-07,76.322,
2010-10,77.653,
2011-01,77.820,
2011-04,78.510,
2011-07,78.547,
2011-10,79.998,
2012-01,80.111,
2012-04,80.372,
2012-07,80.219,
2012-10,80.952,
2013-01,80.920,
2013-04,81.357,
2013-07,81.252,
2013-10,82.767,
2014-01,82.698,
2014-04,83.309,
2014-07,83.153,
