"",BBK01.OEHO04H,BBK01.OEHO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:53,
2002-01,-0.428,
2002-04,-0.555,
2002-07,-0.348,
2002-10,0.084,
2003-01,-0.204,
2003-04,-0.425,
2003-07,-0.253,
2003-10,0.089,
2004-01,-0.198,
2004-04,-0.334,
2004-07,-0.123,
2004-10,0.110,
2005-01,-0.190,
2005-04,-0.562,
2005-07,-0.385,
2005-10,-0.176,
2006-01,-0.428,
2006-04,-0.535,
2006-07,-0.733,
2006-10,-0.945,
2007-01,-1.576,
2007-04,-1.368,
2007-07,-1.215,
2007-10,-1.361,
2008-01,-1.708,
2008-04,-1.603,
2008-07,-1.639,
2008-10,-1.102,
2009-01,0.997,
2009-04,1.271,
2009-07,1.000,
2009-10,1.114,
2010-01,1.085,
2010-04,0.542,
2010-07,0.415,
2010-10,0.207,
2011-01,0.265,
2011-04,-0.165,
2011-07,-0.512,
2011-10,-0.487,
2012-01,-0.358,
2012-04,-0.231,
2012-07,-0.083,
2012-10,-0.250,
2013-01,-0.096,
2013-04,-0.528,
2013-07,-0.698,
2013-10,-0.195,
2014-01,-0.370,
2014-04,-0.454,
2014-07,-0.543,
