"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:01,
1991-01,-43.599,
1991-04,61.230,
1991-07,56.440,
1991-10,30.595,
1992-01,-226.752,
1992-04,-124.398,
1992-07,-127.131,
1992-10,-197.923,
1993-01,-94.487,
1993-04,-12.853,
1993-07,2.461,
1993-10,-17.290,
1994-01,-211.942,
1994-04,-61.395,
1994-07,-64.790,
1994-10,-94.397,
1995-01,417.335,
1995-04,423.696,
1995-07,429.443,
1995-10,404.089,
1996-01,-180.283,
1996-04,-177.490,
1996-07,-145.312,
1996-10,-169.985,
1997-01,-158.178,
1997-04,-118.008,
1997-07,-137.610,
1997-10,-120.715,
1998-01,-562.186,
1998-04,-561.764,
1998-07,-561.600,
1998-10,-1838.524,
1999-01,-279.973,
1999-04,-460.409,
1999-07,-410.145,
1999-10,-282.413,
2000-01,-1326.019,
2000-04,-1712.149,
2000-07,-1442.299,
2000-10,-1478.422,
2001-01,-890.796,
2001-04,-1360.409,
2001-07,-1093.275,
2001-10,-1175.774,
2002-01,-725.318,
2002-04,-1061.945,
2002-07,-512.869,
2002-10,-1829.586,
2003-01,-324.673,
2003-04,-170.004,
2003-07,56.738,
2003-10,82.189,
2004-01,485.150,
2004-04,221.857,
2004-07,103.376,
2004-10,35.055,
2005-01,1470.306,
2005-04,1029.580,
2005-07,1968.955,
2005-10,1748.010,
2006-01,1870.401,
2006-04,1314.100,
2006-07,2004.999,
2006-10,1511.619,
2007-01,2563.213,
2007-04,1697.879,
2007-07,1746.798,
2007-10,252.193,
2008-01,-1943.552,
2008-04,-2114.572,
2008-07,-1105.055,
2008-10,-1565.509,
2009-01,-489.518,
2009-04,-464.385,
2009-07,585.527,
2009-10,-519.879,
2010-01,205.767,
2010-04,1418.385,
2010-07,2797.596,
2010-10,2197.136,
2011-01,756.455,
2011-04,1371.685,
2011-07,2101.510,
2011-10,1169.158,
2012-01,1476.337,
2012-04,583.071,
2012-07,2043.993,
2012-10,1388.549,
2013-01,1525.462,
2013-04,121.581,
2013-07,1126.902,
2013-10,597.961,
2014-01,726.437,Provisional value
2014-04,1222.035,Provisional value
2014-07,1342.526,Provisional value
2014-10,358.796,Provisional value
