"",BBK01.OXA7A5,BBK01.OXA7A5_FLAGS
"",Short-term loans to other financial intermediaries arising from reverse-repo transactions with central counterparties -  All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:02,
2010-06,68.244,
2010-07,67.886,
2010-08,78.778,
2010-09,62.905,
2010-10,70.664,
2010-11,88.884,
2010-12,57.409,
2011-01,66.383,
2011-02,81.380,
2011-03,63.288,
2011-04,70.403,
2011-05,81.083,
2011-06,77.070,
2011-07,79.206,
2011-08,94.241,
2011-09,94.870,
2011-10,125.835,
2011-11,122.089,
2011-12,92.231,
2012-01,108.516,
2012-02,109.400,
2012-03,98.184,
2012-04,99.968,
2012-05,95.118,
2012-06,89.289,
2012-07,119.658,
2012-08,116.222,
2012-09,107.035,
2012-10,122.190,
2012-11,109.562,
2012-12,84.695,
2013-01,111.783,
2013-02,110.873,
2013-03,99.070,
2013-04,99.090,
2013-05,100.288,
2013-06,110.351,
2013-07,98.690,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,-,Nothing exists
