"",BBK01.OEHK02H,BBK01.OEHK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:29,
2002-01,3.846,
2002-04,3.911,
2002-07,4.078,
2002-10,4.198,
2003-01,4.284,
2003-04,4.309,
2003-07,4.523,
2003-10,4.493,
2004-01,4.561,
2004-04,4.652,
2004-07,4.720,
2004-10,4.798,
2005-01,4.797,
2005-04,4.977,
2005-07,5.101,
2005-10,5.283,
2006-01,5.108,
2006-04,5.133,
2006-07,5.176,
2006-10,5.466,
2007-01,5.321,
2007-04,5.445,
2007-07,5.353,
2007-10,5.602,
2008-01,5.397,
2008-04,5.264,
2008-07,5.197,
2008-10,5.568,
2009-01,6.381,
2009-04,6.862,
2009-07,7.320,
2009-10,7.806,
2010-01,7.738,
2010-04,8.030,
2010-07,8.262,
2010-10,8.596,
2011-01,8.499,
2011-04,8.781,
2011-07,8.779,
2011-10,9.264,
2012-01,9.176,
2012-04,9.305,
2012-07,9.705,
2012-10,10.214,
2013-01,10.275,
2013-04,10.464,
2013-07,10.901,
2013-10,11.275,
2014-01,11.318,
2014-04,11.358,
2014-07,11.619,
