"",BBK01.OEBL06H,BBK01.OEBL06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:45,
2002-01,0.960,
2002-04,1.004,
2002-07,1.011,
2002-10,1.010,
2003-01,0.989,
2003-04,0.970,
2003-07,0.931,
2003-10,0.862,
2004-01,0.838,
2004-04,0.479,
2004-07,0.476,
2004-10,0.428,
2005-01,0.483,
2005-04,0.474,
2005-07,0.487,
2005-10,0.492,
2006-01,0.506,
2006-04,0.524,
2006-07,0.584,
2006-10,0.605,
2007-01,0.633,
2007-04,0.664,
2007-07,0.683,
2007-10,0.813,
2008-01,0.952,
2008-04,1.091,
2008-07,1.178,
2008-10,1.363,
2009-01,1.530,
2009-04,1.360,
2009-07,1.238,
2009-10,1.141,
2010-01,1.163,
2010-04,1.416,
2010-07,1.565,
2010-10,1.688,
2011-01,1.799,
2011-04,2.060,
2011-07,2.214,
2011-10,2.158,
2012-01,2.166,
2012-04,2.210,
2012-07,2.159,
2012-10,2.013,
2013-01,1.803,
2013-04,1.542,
2013-07,1.480,
2013-10,1.489,
2014-01,1.462,
2014-04,1.482,
2014-07,1.358,
