"",BBK01.OEAE11L,BBK01.OEAE11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:08,
2002-01,2.457,
2002-04,2.601,
2002-07,2.864,
2002-10,1.836,
2003-01,2.325,
2003-04,2.108,
2003-07,2.015,
2003-10,1.928,
2004-01,1.917,
2004-04,1.957,
2004-07,2.018,
2004-10,2.010,
2005-01,2.003,
2005-04,1.882,
2005-07,2.049,
2005-10,1.889,
2006-01,1.787,
2006-04,1.562,
2006-07,1.488,
2006-10,1.441,
2007-01,1.261,
2007-04,1.371,
2007-07,1.455,
2007-10,1.399,
2008-01,1.421,
2008-04,1.367,
2008-07,1.340,
2008-10,1.223,
2009-01,1.114,
2009-04,0.911,
2009-07,0.941,
2009-10,0.937,
2010-01,0.754,
2010-04,0.715,
2010-07,0.790,
2010-10,0.727,
2011-01,0.682,
2011-04,0.721,
2011-07,0.670,
2011-10,0.721,
2012-01,0.695,
2012-04,0.670,
2012-07,0.654,
2012-10,0.700,
2013-01,0.626,
2013-04,0.615,
2013-07,0.600,
2013-10,0.692,
2014-01,0.662,
2014-04,0.704,
2014-07,0.677,
