"",BBK01.CEFB0M,BBK01.CEFB0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:30,
1999-01,28.0,
1999-04,27.9,
1999-07,27.9,
1999-10,27.9,
2000-01,27.7,
2000-04,27.5,
2000-07,27.3,
2000-10,27.2,
2001-01,26.9,
2001-04,26.7,
2001-07,26.4,
2001-10,26.2,
2002-01,26.2,
2002-04,26.3,
2002-07,26.4,
2002-10,26.5,
2003-01,27.0,
2003-04,27.4,
2003-07,27.9,
2003-10,28.4,
2004-01,28.7,
2004-04,29.0,
2004-07,29.4,
2004-10,29.7,
2005-01,29.3,
2005-04,28.9,
2005-07,28.5,
2005-10,28.1,
2006-01,28.8,
2006-04,28.9,
2006-07,28.9,
2006-10,28.6,
2007-01,29.3,
2007-04,29.7,
2007-07,29.8,
2007-10,29.8,
2008-01,29.6,
2008-04,29.6,
2008-07,30.0,
2008-10,30.6,
2009-01,31.6,
2009-04,32.1,
2009-07,33.3,
2009-10,33.7,
2010-01,34.6,
2010-04,35.1,
2010-07,35.5,
2010-10,34.8,
2011-01,34.9,
2011-04,35.6,
2011-07,35.5,
2011-10,35.6,
2012-01,36.3,
2012-04,36.3,
2012-07,36.7,
2012-10,36.8,
2013-01,36.9,
2013-04,36.4,
2013-07,36.7,
2013-10,35.9,
2014-01,35.9,
2014-04,36.4,
2014-07,35.0,
