"",BBK01.OELL06G,BBK01.OELL06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:12,
2002-01,3.911,
2002-04,3.840,
2002-07,3.898,
2002-10,3.832,
2003-01,3.627,
2003-04,3.454,
2003-07,3.290,
2003-10,3.213,
2004-01,2.996,
2004-04,2.874,
2004-07,2.866,
2004-10,2.789,
2005-01,2.631,
2005-04,2.566,
2005-07,2.494,
2005-10,2.490,
2006-01,2.442,
2006-04,2.422,
2006-07,2.352,
2006-10,2.465,
2007-01,2.511,
2007-04,2.549,
2007-07,2.731,
2007-10,2.971,
2008-01,2.886,
2008-04,2.800,
2008-07,2.765,
2008-10,2.925,
2009-01,2.683,
2009-04,2.441,
2009-07,2.151,
2009-10,2.058,
2010-01,1.936,
2010-04,1.802,
2010-07,1.744,
2010-10,1.783,
2011-01,1.780,
2011-04,1.853,
2011-07,1.858,
2011-10,1.908,
2012-01,1.937,
2012-04,1.892,
2012-07,1.795,
2012-10,1.725,
2013-01,1.467,
2013-04,1.282,
2013-07,1.195,
2013-10,1.161,
2014-01,1.074,
2014-04,0.980,
2014-07,0.945,
