"",BBNZ1.Q.DE.N.G.0152.A,BBNZ1.Q.DE.N.G.0152.A_FLAGS
"",Germany / National accounts / Use of GDP / Machinery and equipment / At current prices,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:35,
1991-01,33.631,
1991-04,39.951,
1991-07,37.520,
1991-10,44.471,
1992-01,35.252,
1992-04,39.580,
1992-07,36.277,
1992-10,41.231,
1993-01,30.568,
1993-04,33.395,
1993-07,31.434,
1993-10,36.490,
1994-01,28.566,
1994-04,32.452,
1994-07,31.152,
1994-10,37.456,
1995-01,29.621,
1995-04,33.166,
1995-07,31.310,
1995-10,37.130,
1996-01,29.206,
1996-04,33.574,
1996-07,32.338,
1996-10,38.228,
1997-01,29.897,
1997-04,35.048,
1997-07,33.559,
1997-10,40.133,
1998-01,33.554,
1998-04,37.337,
1998-07,37.033,
1998-10,44.161,
1999-01,36.045,
1999-04,39.872,
1999-07,39.352,
1999-10,46.550,
2000-01,39.571,
2000-04,44.162,
2000-07,44.035,
2000-10,51.322,
2001-01,41.854,
2001-04,43.481,
2001-07,40.624,
2001-10,45.824,
2002-01,35.710,
2002-04,39.591,
2002-07,37.589,
2002-10,43.157,
2003-01,34.935,
2003-04,37.572,
2003-07,36.776,
2003-10,42.365,
2004-01,34.793,
2004-04,38.918,
2004-07,38.623,
2004-10,45.027,
2005-01,35.162,
2005-04,41.029,
2005-07,39.782,
2005-10,48.307,
2006-01,39.698,
2006-04,45.442,
2006-07,43.295,
2006-10,52.213,
2007-01,44.243,
2007-04,49.625,
2007-07,47.523,
2007-10,56.720,
2008-01,45.867,
2008-04,52.306,
2008-07,50.001,
2008-10,54.545,
2009-01,36.940,
2009-04,39.419,
2009-07,38.638,
2009-10,43.883,
2010-01,37.074,
2010-04,43.183,
2010-07,43.216,
2010-10,50.977,
2011-01,42.151,
2011-04,46.117,
2011-07,45.797,
2011-10,51.828,
2012-01,43.425,
2012-04,44.698,
2012-07,43.440,
2012-10,50.176,
2013-01,39.269,
2013-04,44.731,
2013-07,43.542,
2013-10,50.309,
2014-01,42.361,
2014-04,46.344,
2014-07,45.332,
2014-10,51.522,
