"",BBEX3.M.UAH.USD.CA.AC.A01,BBEX3.M.UAH.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Ukraine / USD 100 = UAH ... (middle),
unit,UAH (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:46,
1996-09,176.0000,
1996-10,181.0000,
1996-11,187.4000,
1996-12,188.6000,
1997-01,187.9000,
1997-02,183.6000,
1997-03,185.0000,
1997-04,184.3000,
1997-05,186.0000,
1997-06,185.7000,
1997-07,185.7000,
1997-08,185.5000,
1997-09,186.8000,
1997-10,187.5000,
1997-11,188.7000,
1997-12,189.7000,
1998-01,192.9700,
1998-02,201.9900,
1998-03,203.8300,
1998-04,204.1000,
1998-05,205.7500,
1998-06,206.3500,
1998-07,213.4200,
1998-08,225.0000,
1998-09,340.0000,
1998-10,342.8000,
1998-11,342.7000,
1998-12,342.7000,
1999-01,342.7000,
1999-02,358.3000,
1999-03,393.5600,
1999-04,392.4400,
1999-05,392.6000,
1999-06,394.8900,
1999-07,420.0600,
1999-08,438.1000,
1999-09,446.9700,
1999-10,450.3200,
1999-11,470.7100,
1999-12,521.6300,
2000-01,547.5500,
2000-02,549.7500,
2000-03,542.7600,
2000-04,540.1500,
2000-05,541.4400,
2000-06,543.7800,
2000-07,543.8700,
2000-08,543.8500,
2000-09,543.9700,
2000-10,543.6900,
2000-11,543.6700,
2000-12,543.4500,
2001-01,543.0600,
2001-02,542.8800,
2001-03,541.9200,
2001-04,541.5800,
2001-05,541.5200,
2001-06,538.2800,
2001-07,535.3500,
2001-08,534.0400,
2001-09,533.1400,
2001-10,529.3700,
2001-11,528.3100,
2001-12,529.8500,
2002-01,532.1000,
2002-02,532.1500,
2002-03,532.2100,
2002-04,532.7000,
2002-05,532.9300,
2002-06,532.8800,
2002-07,532.9000,
2002-08,532.9300,
2002-09,532.9500,
2002-10,533.0200,
2002-11,533.0400,
2002-12,533.2400,
2003-01,533.2900,
2003-02,533.4500,
2003-03,533.4500,
2003-04,533.3700,
2003-05,533.3000,
2003-06,533.2800,
2003-07,533.1800,
2003-08,533.1500,
2003-09,533.1500,
2003-10,533.1900,
2003-11,533.2000,
2003-12,533.1500,
2004-01,533.1100,
2004-02,532.9900,
2004-03,532.9300,
2004-04,532.8700,
2004-05,532.5000,
2004-06,532.0700,
2004-07,531.6000,
2004-08,531.1600,
2004-09,530.7700,
2004-10,530.6500,
2004-11,530.6200,
2004-12,530.5400,
2005-01,530.3900,
2005-02,529.9000,
2005-03,528.0800,
2005-04,505.0000,
2005-05,505.0000,
2005-06,505.5000,
2005-07,505.0000,
2005-08,505.0000,
2005-09,505.0000,
2005-10,505.0000,
2005-11,505.0000,
2005-12,505.0000,
2006-01,505.0000,
2006-02,505.0000,
2006-03,505.0000,
2006-04,505.0000,
2006-05,505.0000,
2006-06,505.0000,
2006-07,505.0000,
2006-08,505.0000,
2006-09,505.0000,
2006-10,505.0000,
2006-11,505.0000,
2006-12,505.0000,
2007-01,505.0000,
2007-02,505.0000,
2007-03,505.0000,
2007-04,505.0000,
2007-05,505.0000,
2007-06,505.0000,
2007-07,505.0000,
2007-08,505.0000,
2007-09,505.0000,
2007-10,505.0000,
2007-11,505.0000,
2007-12,505.0000,
2008-01,505.0000,
2008-02,505.0000,
2008-03,505.0000,
2008-04,505.0000,
2008-05,485.2000,
2008-06,484.8900,
2008-07,484.5100,
2008-08,484.5700,
2008-09,486.1000,
2008-10,576.0400,
2008-11,674.1800,
2008-12,770.0000,
2009-01,770.0000,
2009-02,770.0000,
2009-03,770.0000,
2009-04,770.0000,
2009-05,761.8800,
2009-06,763.0300,
2009-07,769.8000,
2009-08,798.9000,
2009-09,801.0000,
2009-10,800.0000,
2009-11,798.0900,
2009-12,796.8500,
2010-01,800.1200,
2010-02,799.0000,
2010-03,792.5000,
2010-04,792.5900,
2010-05,792.5100,
2010-06,790.7000,
2010-07,789.3200,
2010-08,788.6100,
2010-09,791.3500,
2010-10,791.1600,
2010-11,793.8000,
2010-12,796.1700,
2011-01,794.0000,
2011-02,793.0700,
2011-03,796.0000,
2011-04,796.5400,
2011-05,797.0600,
2011-06,797.2300,
2011-07,797.1200,
2011-08,797.0700,
2011-09,797.2700,
2011-10,797.7000,
2011-11,798.9700,
2011-12,798.9800,
2012-01,798.9700,
2012-02,798.6700,
2012-03,798.6700,
2012-04,798.9900,
2012-05,799.2500,
2012-06,799.2500,
2012-07,799.3000,
2012-08,799.3000,
2012-09,799.3000,
2012-10,799.3000,
2012-11,799.3000,
2012-12,799.3000,
2013-01,799.3000,
2013-02,799.3000,
2013-03,799.3000,
2013-04,799.3000,
2013-05,799.3000,
2013-06,799.3000,
2013-07,799.3000,
2013-08,799.3000,
2013-09,799.3000,
2013-10,799.3000,
2013-11,799.3000,
2013-12,799.3000,
2014-01,799.3000,
2014-02,998.6300,comment
2014-03,1095.4600,
2014-04,1140.1581,
2014-05,1177.4997,
2014-06,1182.3346,
2014-07,1209.7248,
2014-08,1360.5777,
2014-09,1294.9185,
2014-10,1295.0684,
2014-11,1496.9269,
2014-12,1576.8556,
2015-01,1615.7817,
"","General: With effect from 2 September 1996, a currency conversion took place at the rate of 100,000 karbowanez (URK) = 1 hryvnia (UAH). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: National Bank of Ukraine, Kyiv",
"","Comment on 2014-02: In February 2014, the hryvnia ceased to be pegged to the US dollar and the value of the hryvnia consequently fell significantly. In light of the high capital outflows, initial capital controls were introduced on 7 February 2014.",
