"",BBSF2.M.1.S.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:51,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,129,
1993-05,131,
1993-06,130,
1993-07,131,
1993-08,134,
1993-09,135,
1993-10,136,
1993-11,139,
1993-12,141,
1994-01,145,
1994-02,149,
1994-03,152,
1994-04,156,
1994-05,157,
1994-06,158,
1994-07,163,
1994-08,163,
1994-09,165,
1994-10,169,
1994-11,169,
1994-12,172,
1995-01,173,
1995-02,175,
1995-03,176,
1995-04,176,
1995-05,176,
1995-06,174,
1995-07,176,
1995-08,176,
1995-09,176,
1995-10,175,
1995-11,174,
1995-12,178,
1996-01,183,
1996-02,184,
1996-03,184,
1996-04,187,
1996-05,188,
1996-06,188,
1996-07,191,
1996-08,188,
1996-09,188,
1996-10,189,
1996-11,188,
1996-12,199,
1997-01,206,
1997-02,208,
1997-03,209,
1997-04,212,
1997-05,216,
1997-06,220,
1997-07,227,
1997-08,232,
1997-09,235,
1997-10,244,
1997-11,248,
1997-12,250,
1998-01,253,
1998-02,256,
1998-03,264,
1998-04,265,
1998-05,270,
1998-06,276,
1998-07,285,
1998-08,288,
1998-09,293,
1998-10,293,
1998-11,298,
1998-12,300,
1999-01,304,
1999-02,307,
1999-03,308,
1999-04,315,
1999-05,318,
1999-06,317,
1999-07,316,
1999-08,316,
1999-09,317,
1999-10,317,
1999-11,321,
1999-12,323,
2000-01,323,
2000-02,323,
2000-03,325,
2000-04,327,
2000-05,334,
2000-06,332,
2000-07,338,
2000-08,338,
2000-09,345,
2000-10,343,
2000-11,343,
2000-12,348,
2001-01,353,
2001-02,358,
2001-03,361,
2001-04,360,
2001-05,362,
2001-06,364,
2001-07,370,
2001-08,371,
2001-09,371,
2001-10,371,
2001-11,372,
2001-12,369,
2002-01,372,
2002-02,367,
2002-03,365,
2002-04,360,
2002-05,358,
2002-06,357,
2002-07,355,
2002-08,360,
2002-09,361,
2002-10,376,
2002-11,375,
2002-12,366,
2003-01,360,
2003-02,355,
2003-03,348,
2003-04,348,
2003-05,346,
2003-06,338,
2003-07,332,
2003-08,333,
2003-09,331,
2003-10,335,
2003-11,333,
2003-12,345,
2004-01,335,
2004-02,339,
2004-03,344,
2004-04,340,
2004-05,343,
2004-06,334,
2004-07,336,
2004-08,337,
2004-09,334,
2004-10,332,
2004-11,319,
2004-12,313,
2005-01,311,
2005-02,312,
2005-03,305,
2005-04,309,
2005-05,315,
2005-06,325,
2005-07,325,
2005-08,330,
2005-09,326,
2005-10,330,
2005-11,335,
2005-12,322,
2006-01,328,
2006-02,328,
2006-03,330,
2006-04,332,
2006-05,327,
2006-06,322,
2006-07,335,
2006-08,338,
2006-09,333,
2006-10,330,
2006-11,330,
2006-12,315,
2007-01,316,
2007-02,314,
2007-03,315,
2007-04,307,
2007-05,306,
2007-06,298,
2007-07,295,
2007-08,297,
2007-09,292,
2007-10,292,
2007-11,291,
2007-12,291,
2008-01,291,
2008-02,288,
2008-03,291,
2008-04,290,
2008-05,287,
2008-06,286,
2008-07,283,
2008-08,281,
2008-09,272,
2008-10,271,
2008-11,275,
2008-12,275,
2009-01,274,
2009-02,266,
2009-03,261,
2009-04,242,
2009-05,240,
2009-06,233,
2009-07,231,
2009-08,232,
2009-09,242,
2009-10,237,
2009-11,231,
2009-12,233,
2010-01,232,
2010-02,230,
2010-03,227,
2010-04,226,
2010-05,224,
2010-06,220,
2010-07,220,
2010-08,219,
2010-09,215,
2010-10,210,
2010-11,211,
2010-12,205,
2011-01,203,
2011-02,204,
2011-03,202,
2011-04,202,
2011-05,202,
2011-06,201,
2011-07,202,
2011-08,201,
2011-09,198,
2011-10,196,
2011-11,196,
2011-12,200,
2012-01,196,
2012-02,193,
2012-03,189,
2012-04,189,
2012-05,186,
2012-06,187,
2012-07,186,
2012-08,186,
2012-09,186,
2012-10,187,
2012-11,186,
2012-12,188,
2013-01,190,
2013-02,188,
2013-03,187,
2013-04,184,
2013-05,186,
2013-06,186,
2013-07,184,
2013-08,184,
2013-09,184,
2013-10,185,
2013-11,184,
2013-12,185,
2014-01,184,
2014-02,186,
2014-03,185,
2014-04,184,
2014-05,184,
2014-06,184,
2014-07,180,
2014-08,178,
2014-09,177,
2014-10,173,
2014-11,174,
