"",BBK01.OEXL02J,BBK01.OEXL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:54,
2002-01,0.360,
2002-04,0.364,
2002-07,0.341,
2002-10,0.371,
2003-01,0.392,
2003-04,0.411,
2003-07,0.428,
2003-10,0.448,
2004-01,0.465,
2004-04,0.491,
2004-07,0.478,
2004-10,0.472,
2005-01,0.479,
2005-04,0.498,
2005-07,0.533,
2005-10,0.556,
2006-01,0.588,
2006-04,0.573,
2006-07,0.524,
2006-10,0.566,
2007-01,0.569,
2007-04,0.594,
2007-07,0.582,
2007-10,0.589,
2008-01,0.615,
2008-04,0.616,
2008-07,0.611,
2008-10,0.596,
2009-01,0.632,
2009-04,0.686,
2009-07,0.658,
2009-10,0.683,
2010-01,0.684,
2010-04,0.682,
2010-07,0.665,
2010-10,0.676,
2011-01,0.671,
2011-04,0.669,
2011-07,0.697,
2011-10,0.697,
2012-01,0.732,
2012-04,0.698,
2012-07,0.661,
2012-10,0.670,
2013-01,0.692,
2013-04,0.719,
2013-07,0.738,
2013-10,0.752,
2014-01,0.751,
2014-04,0.853,
2014-07,0.857,
