"",BBK01.OEAE27J,BBK01.OEAE27J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:45,
2002-01,0.059,
2002-04,0.055,
2002-07,0.055,
2002-10,0.055,
2003-01,0.050,
2003-04,0.045,
2003-07,0.042,
2003-10,0.040,
2004-01,0.037,
2004-04,0.038,
2004-07,0.036,
2004-10,0.040,
2005-01,0.033,
2005-04,0.036,
2005-07,0.029,
2005-10,0.030,
2006-01,0.028,
2006-04,0.031,
2006-07,0.027,
2006-10,0.029,
2007-01,0.027,
2007-04,0.028,
2007-07,0.029,
2007-10,0.030,
2008-01,0.031,
2008-04,0.030,
2008-07,0.029,
2008-10,0.024,
2009-01,0.018,
2009-04,0.019,
2009-07,0.019,
2009-10,0.015,
2010-01,-0.041,
2010-04,0.015,
2010-07,0.019,
2010-10,0.018,
2011-01,0.021,
2011-04,0.024,
2011-07,0.025,
2011-10,0.028,
2012-01,0.029,
2012-04,0.035,
2012-07,0.030,
2012-10,0.030,
2013-01,0.029,
2013-04,0.033,
2013-07,0.024,
2013-10,0.024,
2014-01,0.028,
2014-04,0.025,
2014-07,0.040,
