"",BBFN1.M.DE.N.1.A.KY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Cayman Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:07,
1982-09,0.055,
1982-10,0.055,
1982-11,0.072,
1982-12,0.072,
1983-01,0.055,
1983-02,0.055,
1983-03,0.055,
1983-04,0.055,
1983-05,0.060,
1983-06,0.056,
1983-07,0.055,
1983-08,0.055,
1983-09,0.055,
1983-10,0.055,
1983-11,0.055,
1983-12,0.055,
1984-01,0.037,
1984-02,0.037,
1984-03,0.037,
1984-04,0.037,
1984-05,0.037,
1984-06,0.037,
1984-07,0.039,
1984-08,0.067,
1984-09,0.044,
1984-10,0.041,
1984-11,0.040,
1984-12,0.065,
1985-01,0.040,
1985-02,0.040,
1985-03,0.048,
1985-04,0.040,
1985-05,0.040,
1985-06,0.038,
1985-07,0.040,
1985-08,0.040,
1985-09,0.042,
1985-10,0.040,
1985-11,0.039,
1985-12,0.036,
1986-01,0.036,
1986-02,0.036,
1986-03,.,No value available
1986-04,.,No value available
1986-05,0.043,
1986-06,0.042,
1986-07,0.038,
1986-08,0.038,
1986-09,0.044,
1986-10,0.041,
1986-11,.,No value available
1986-12,0.494,
1987-01,.,No value available
1987-02,0.039,
1987-03,.,No value available
1987-04,.,No value available
1987-05,.,No value available
1987-06,0.042,
1987-07,0.065,
1987-08,0.038,
1987-09,0.038,
1987-10,0.053,
1987-11,0.040,
1987-12,0.033,
1988-01,0.151,
1988-02,0.145,
1988-03,0.149,
1988-04,0.156,
1988-05,0.155,
1988-06,0.143,
1988-07,0.137,
1988-08,0.133,
1988-09,0.133,
1988-10,0.131,
1988-11,0.126,
1988-12,0.131,
1989-01,0.141,
1989-02,0.165,
1989-03,0.165,
1989-04,0.152,
1989-05,0.165,
1989-06,0.168,
1989-07,0.227,
1989-08,0.172,
1989-09,0.180,
1989-10,0.170,
1989-11,0.173,
1989-12,0.201,
1990-01,0.196,
1990-02,0.184,
1990-03,0.186,
1990-04,0.188,
1990-05,0.196,
1990-06,0.225,
1990-07,0.163,
1990-08,0.172,
1990-09,0.213,
1990-10,0.203,
1990-11,0.184,
1990-12,0.134,
1991-01,0.192,
1991-02,0.206,
1991-03,0.232,
1991-04,0.252,
1991-05,0.245,
1991-06,0.247,
1991-07,0.238,
1991-08,0.262,
1991-09,0.264,
1991-10,0.341,
1991-11,0.565,
1991-12,0.506,
1992-01,0.538,
1992-02,0.647,
1992-03,0.708,
1992-04,0.584,
1992-05,0.652,
1992-06,0.554,
1992-07,0.420,
1992-08,0.365,
1992-09,0.349,
1992-10,0.470,
1992-11,0.416,
1992-12,0.351,
1993-01,0.400,
1993-02,0.337,
1993-03,0.438,
1993-04,0.848,
1993-05,0.738,
1993-06,0.940,
1993-07,0.865,
1993-08,0.891,
1993-09,0.855,
1993-10,0.754,
1993-11,0.701,
1993-12,0.537,
1994-01,0.533,
1994-02,0.572,
1994-03,0.835,
1994-04,0.820,
1994-05,0.729,
1994-06,0.838,
1994-07,0.880,
1994-08,0.563,
1994-09,1.044,
1994-10,1.030,
1994-11,1.122,
1994-12,1.559,
1995-01,1.116,
1995-02,1.022,
1995-03,1.452,
1995-04,1.446,
1995-05,1.511,
1995-06,1.478,
1995-07,1.598,
1995-08,1.365,
1995-09,1.227,
1995-10,1.485,
1995-11,1.206,
1995-12,1.324,
1996-01,1.031,
1996-02,0.886,
1996-03,0.753,
1996-04,0.875,
1996-05,1.011,
1996-06,1.096,
1996-07,0.962,
1996-08,0.890,
1996-09,0.940,
1996-10,0.836,
1996-11,0.893,
1996-12,0.877,
1997-01,0.920,
1997-02,0.977,
1997-03,0.764,
1997-04,0.667,
1997-05,0.755,
1997-06,0.631,
1997-07,0.557,
1997-08,0.426,
1997-09,0.321,
1997-10,0.402,
1997-11,0.258,
1997-12,0.345,
1998-01,0.391,
1998-02,0.337,
1998-03,0.358,
1998-04,0.276,
1998-05,0.406,
1998-06,0.560,
1998-07,0.366,
1998-08,0.197,
1998-09,0.243,
1998-10,0.348,
1998-11,0.376,
1998-12,0.231,
1999-01,0.142,
1999-02,0.167,
1999-03,0.266,
1999-04,0.714,
1999-05,0.906,
1999-06,0.809,
1999-07,0.544,
1999-08,0.368,
1999-09,0.494,
1999-10,0.489,
1999-11,0.628,
1999-12,0.542,
2000-01,0.546,
