"",BBDA1.M.DE.Y.SD.S.A.W1.A.C.A10.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A10.A_FLAGS
"",German foreign trade: balance / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:40,
2008-01,15.60,
2008-02,16.65,
2008-03,17.13,
2008-04,17.14,
2008-05,15.79,
2008-06,19.49,
2008-07,14.25,
2008-08,15.17,
2008-09,14.67,
2008-10,15.81,
2008-11,10.60,
2008-12,9.71,
2009-01,6.84,
2009-02,7.83,
2009-03,7.67,
2009-04,7.28,
2009-05,9.76,
2009-06,11.08,
2009-07,12.17,
2009-08,9.50,
2009-09,7.44,
2009-10,8.60,
2009-11,11.53,
2009-12,12.53,
2010-01,9.12,
2010-02,14.47,
2010-03,11.35,
2010-04,12.87,
2010-05,12.38,
2010-06,11.76,
2010-07,13.16,
2010-08,12.32,
2010-09,14.42,
2010-10,14.58,
2010-11,12.57,
2010-12,13.76,
2011-01,13.66,
2011-02,14.17,
2011-03,16.12,
2011-04,14.56,
2011-05,14.75,
2011-06,15.05,
2011-07,13.77,
2011-08,16.35,
2011-09,16.02,
2011-10,15.55,
2011-11,16.13,
2011-12,15.65,
2012-01,17.85,
2012-02,16.17,
2012-03,17.25,
2012-04,16.97,
2012-05,17.65,
2012-06,18.23,
2012-07,19.23,
2012-08,19.80,
2012-09,17.43,
2012-10,17.34,
2012-11,19.33,
2012-12,17.34,
2013-01,18.63,
2013-02,17.61,
2013-03,20.47,
2013-04,20.69,
2013-05,16.61,
2013-06,17.48,
2013-07,16.84,
2013-08,18.24,
2013-09,19.73,
2013-10,18.23,
2013-11,18.23,
2013-12,17.73,
2014-01,18.20,
2014-02,16.79,
2014-03,17.21,
2014-04,18.68,
2014-05,19.13,
2014-06,16.80,
2014-07,18.77,
2014-08,16.72,
2014-09,17.89,
2014-10,19.15,
2014-11,17.44,
2014-12,18.62,
