"",BBK01.OEAE25G,BBK01.OEAE25G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:57,
2002-01,0.711,
2002-04,0.731,
2002-07,0.717,
2002-10,0.708,
2003-01,0.713,
2003-04,0.649,
2003-07,0.660,
2003-10,0.668,
2004-01,0.649,
2004-04,0.662,
2004-07,0.650,
2004-10,0.654,
2005-01,0.635,
2005-04,0.621,
2005-07,0.606,
2005-10,0.601,
2006-01,0.640,
2006-04,0.627,
2006-07,0.601,
2006-10,0.564,
2007-01,0.503,
2007-04,0.499,
2007-07,0.496,
2007-10,0.501,
2008-01,0.499,
2008-04,0.480,
2008-07,0.474,
2008-10,0.462,
2009-01,0.478,
2009-04,0.516,
2009-07,0.535,
2009-10,0.524,
2010-01,0.487,
2010-04,0.521,
2010-07,0.514,
2010-10,0.515,
2011-01,0.512,
2011-04,0.506,
2011-07,0.510,
2011-10,0.504,
2012-01,0.502,
2012-04,0.585,
2012-07,0.615,
2012-10,0.635,
2013-01,0.618,
2013-04,0.701,
2013-07,0.723,
2013-10,0.728,
2014-01,0.724,
2014-04,0.796,
2014-07,0.807,
