"",BBFN1.M.DE.N.1.A.F1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.F1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:08,
1995-01,3.020,
1995-02,3.025,
1995-03,3.065,
1995-04,3.082,
1995-05,3.104,
1995-06,3.129,
1995-07,3.091,
1995-08,3.000,
1995-09,2.998,
1995-10,2.877,
1995-11,2.904,
1995-12,2.937,
1996-01,2.850,
1996-02,2.873,
1996-03,3.014,
1996-04,2.944,
1996-05,2.925,
1996-06,2.859,
1996-07,2.897,
1996-08,2.862,
1996-09,2.880,
1996-10,2.819,
1996-11,2.819,
1996-12,2.812,
1997-01,2.664,
1997-02,2.696,
1997-03,2.621,
1997-04,2.690,
1997-05,2.618,
1997-06,2.639,
1997-07,2.698,
1997-08,2.743,
1997-09,2.752,
1997-10,2.789,
1997-11,2.823,
1997-12,2.798,
1998-01,2.831,
1998-02,3.015,
1998-03,2.927,
1998-04,2.962,
1998-05,3.039,
1998-06,2.999,
1998-07,2.930,
1998-08,2.890,
1998-09,2.926,
1998-10,2.878,
1998-11,2.882,
1998-12,2.860,
1999-01,2.749,
1999-02,2.670,
1999-03,2.673,
1999-04,2.488,
1999-05,2.730,
1999-06,2.875,
1999-07,2.929,
1999-08,2.866,
1999-09,2.908,
1999-10,2.953,
1999-11,2.967,
1999-12,3.024,
2000-01,3.024,
2000-02,3.007,
2000-03,3.059,
2000-04,3.067,
2000-05,3.123,
2000-06,3.201,
2000-07,3.324,
2000-08,3.320,
2000-09,3.321,
2000-10,3.328,
2000-11,3.523,
2000-12,3.301,
2001-01,3.163,
2001-02,3.185,
2001-03,3.194,
2001-04,3.227,
2001-05,3.349,
2001-06,3.538,
2001-07,3.415,
2001-08,3.523,
2001-09,3.703,
2001-10,3.631,
2001-11,3.645,
2001-12,3.460,
2002-01,3.308,
2002-02,3.220,
2002-03,3.151,
2002-04,3.307,
2002-05,3.466,
2002-06,3.403,
2002-07,3.400,
2002-08,3.215,
2002-09,3.220,
2002-10,3.207,
2002-11,3.300,
2002-12,3.330,
2003-01,3.170,
2003-02,3.194,
2003-03,3.022,
2003-04,3.023,
2003-05,2.998,
2003-06,2.930,
2003-07,2.828,
2003-08,2.942,
2003-09,2.956,
2003-10,2.910,
2003-11,2.871,
2003-12,2.879,
2004-01,2.717,
2004-02,2.752,
2004-03,2.848,
2004-04,2.873,
2004-05,2.986,
2004-06,3.034,
2004-07,3.083,
2004-08,3.078,
2004-09,3.108,
2004-10,3.090,
2004-11,3.080,
2004-12,2.951,
2005-01,2.954,
2005-02,3.023,
2005-03,3.019,
2005-04,3.097,
2005-05,3.209,
2005-06,3.290,
2005-07,3.240,
2005-08,3.172,
2005-09,3.430,
2005-10,3.455,
2005-11,3.512,
2005-12,3.499,
2006-01,3.519,
2006-02,3.485,
2006-03,3.685,
2006-04,3.785,
2006-05,3.852,
2006-06,3.928,
2006-07,3.956,
2006-08,3.911,
2006-09,3.821,
2006-10,3.845,
2006-11,3.749,
2006-12,3.749,
2007-01,3.614,
2007-02,3.729,
2007-03,3.708,
2007-04,3.791,
2007-05,3.710,
2007-06,3.689,
2007-07,3.809,
2007-08,3.974,
2007-09,4.017,
2007-10,4.015,
2007-11,4.049,
2007-12,4.127,
2008-01,3.999,
2008-02,3.995,
2008-03,4.087,
2008-04,4.221,
2008-05,4.190,
2008-06,4.294,
2008-07,4.311,
2008-08,4.421,
2008-09,4.306,
2008-10,4.388,
2008-11,4.369,
2008-12,4.308,
2009-01,3.917,
2009-02,3.956,
2009-03,3.883,
2009-04,3.817,
2009-05,3.991,
2009-06,4.008,
2009-07,3.986,
2009-08,3.934,
2009-09,4.069,
2009-10,4.154,
2009-11,4.213,
2009-12,4.289,
2010-01,4.285,
2010-02,4.437,
2010-03,4.641,
2010-04,4.648,
2010-05,4.797,
2010-06,4.853,
2010-07,4.921,
2010-08,4.966,
2010-09,5.097,
2010-10,5.207,
2010-11,5.068,
2010-12,5.006,
2011-01,4.958,
2011-02,5.041,
2011-03,5.096,
2011-04,5.032,
2011-05,4.999,
2011-06,5.141,
2011-07,5.331,
2011-08,5.312,
2011-09,5.369,
2011-10,5.395,
2011-11,5.354,
2011-12,5.364,
2012-01,5.141,
2012-02,5.292,
2012-03,5.503,
2012-04,5.541,
2012-05,5.500,
2012-06,5.481,
2012-07,5.607,
2012-08,5.559,
2012-09,5.612,
2012-10,5.648,
2012-11,5.626,
2012-12,5.705,
2013-01,5.696,
2013-02,5.927,
2013-03,5.788,
2013-04,5.718,
2013-05,5.746,
2013-06,5.795,
2013-07,5.571,
2013-08,5.709,
2013-09,5.603,
2013-10,5.434,
2013-11,5.500,
2013-12,5.720,
2014-01,5.431,
2014-02,5.441,
2014-03,5.041,
2014-04,5.063,
2014-05,5.207,
2014-06,5.319,
2014-07,5.290,
2014-08,5.309,
2014-09,5.469,
2014-10,5.557,
2014-11,5.336,
2014-12,5.555,
