"",BBK01.OEYM10U,BBK01.OEYM10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:30,
2002-01,0.163,
2002-04,0.165,
2002-07,0.154,
2002-10,0.154,
2003-01,0.157,
2003-04,0.158,
2003-07,0.166,
2003-10,0.167,
2004-01,0.174,
2004-04,0.176,
2004-07,0.161,
2004-10,0.163,
2005-01,0.163,
2005-04,0.163,
2005-07,0.167,
2005-10,0.172,
2006-01,0.174,
2006-04,0.175,
2006-07,0.176,
2006-10,0.180,
2007-01,0.181,
2007-04,0.183,
2007-07,0.185,
2007-10,0.189,
2008-01,0.188,
2008-04,0.193,
2008-07,0.201,
2008-10,0.207,
2009-01,0.211,
2009-04,0.215,
2009-07,0.215,
2009-10,0.222,
2010-01,0.226,
2010-04,0.229,
2010-07,0.233,
2010-10,0.238,
2011-01,0.241,
2011-04,0.241,
2011-07,0.243,
2011-10,0.252,
2012-01,0.251,
2012-04,0.254,
2012-07,0.253,
2012-10,0.264,
2013-01,0.265,
2013-04,0.266,
2013-07,0.268,
2013-10,0.268,
2014-01,0.266,
2014-04,0.272,
2014-07,0.273,
