"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:58,
1991-01,50.154,
1991-04,-112.813,
1991-07,50.171,
1991-10,121.278,
1992-01,225.022,
1992-04,173.903,
1992-07,-52.799,
1992-10,341.600,
1993-01,85.703,
1993-04,86.542,
1993-07,142.833,
1993-10,185.639,
1994-01,202.212,
1994-04,49.866,
1994-07,292.190,
1994-10,160.850,
1995-01,-130.582,
1995-04,757.357,
1995-07,-116.637,
1995-10,-472.537,
1996-01,309.445,
1996-04,137.777,
1996-07,226.082,
1996-10,278.283,
1997-01,388.783,
1997-04,80.275,
1997-07,154.829,
1997-10,392.257,
1998-01,7.738,
1998-04,850.793,
1998-07,599.256,
1998-10,122.147,
1999-01,359.755,
1999-04,331.418,
1999-07,362.561,
1999-10,370.987,
2000-01,365.152,
2000-04,424.451,
2000-07,641.947,
2000-10,293.895,
2001-01,517.297,
2001-04,256.804,
2001-07,1202.640,
2001-10,573.120,
2002-01,1014.956,
2002-04,408.922,
2002-07,388.450,
2002-10,437.286,
2003-01,103.044,
2003-04,-68.885,
2003-07,22.503,
2003-10,12.290,
2004-01,-125.742,
2004-04,295.549,
2004-07,608.329,
2004-10,90.890,
2005-01,95.662,
2005-04,160.146,
2005-07,281.915,
2005-10,-38.759,
2006-01,-97.878,
2006-04,73.444,
2006-07,521.815,
2006-10,-111.668,
2007-01,26.039,
2007-04,1642.810,
2007-07,-461.359,
2007-10,888.265,
2008-01,228.855,
2008-04,539.272,
2008-07,1806.981,
2008-10,2675.676,
2009-01,1314.052,
2009-04,1418.833,
2009-07,305.292,
2009-10,520.655,
2010-01,358.641,
2010-04,228.713,
2010-07,73.704,
2010-10,327.506,
2011-01,219.854,
2011-04,1058.968,
2011-07,148.383,
2011-10,190.430,
2012-01,73.062,
2012-04,-8.132,
2012-07,212.636,
2012-10,41.375,
2013-01,-51.933,
2013-04,173.605,
2013-07,1140.695,
2013-10,-17.396,
2014-01,-286.049,Provisional value
2014-04,-353.188,Provisional value
2014-07,690.707,Provisional value
2014-10,1199.914,Provisional value
