"",BBK01.OEBO01R,BBK01.OEBO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:12,
2002-01,0.903,
2002-04,0.877,
2002-07,0.784,
2002-10,0.796,
2003-01,0.818,
2003-04,0.804,
2003-07,0.770,
2003-10,0.766,
2004-01,0.756,
2004-04,0.733,
2004-07,0.702,
2004-10,0.708,
2005-01,1.292,
2005-04,1.304,
2005-07,1.295,
2005-10,1.278,
2006-01,1.299,
2006-04,1.299,
2006-07,1.287,
2006-10,1.280,
2007-01,1.298,
2007-04,1.393,
2007-07,1.406,
2007-10,1.434,
2008-01,1.512,
2008-04,1.553,
2008-07,1.597,
2008-10,1.609,
2009-01,1.731,
2009-04,1.718,
2009-07,1.712,
2009-10,1.752,
2010-01,1.722,
2010-04,1.679,
2010-07,1.654,
2010-10,1.650,
2011-01,1.710,
2011-04,1.772,
2011-07,1.769,
2011-10,1.753,
2012-01,1.768,
2012-04,1.808,
2012-07,1.789,
2012-10,1.781,
2013-01,1.771,
2013-04,1.716,
2013-07,1.667,
2013-10,1.651,
2014-01,1.651,
2014-04,1.633,
2014-07,1.604,
