"",BBK01.OECK01N,BBK01.OECK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:38,
2002-01,3.033,
2002-04,3.258,
2002-07,3.259,
2002-10,3.398,
2003-01,3.348,
2003-04,3.200,
2003-07,3.162,
2003-10,3.030,
2004-01,2.964,
2004-04,3.027,
2004-07,2.884,
2004-10,3.118,
2005-01,3.220,
2005-04,3.284,
2005-07,3.332,
2005-10,3.431,
2006-01,3.388,
2006-04,3.395,
2006-07,3.440,
2006-10,3.562,
2007-01,3.611,
2007-04,3.806,
2007-07,3.997,
2007-10,4.336,
2008-01,4.370,
2008-04,4.527,
2008-07,4.676,
2008-10,5.035,
2009-01,5.019,
2009-04,5.228,
2009-07,5.028,
2009-10,5.120,
2010-01,4.756,
2010-04,4.958,
2010-07,4.853,
2010-10,4.871,
2011-01,4.843,
2011-04,4.742,
2011-07,4.706,
2011-10,4.826,
2012-01,4.963,
2012-04,5.179,
2012-07,4.878,
2012-10,4.877,
2013-01,4.895,
2013-04,4.967,
2013-07,5.159,
2013-10,5.010,
2014-01,4.756,
2014-04,4.922,
2014-07,5.018,
