"",BBK01.OEAB24V,BBK01.OEAB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:09,
2002-01,7.074,
2002-04,7.107,
2002-07,7.145,
2002-10,7.174,
2003-01,7.268,
2003-04,7.469,
2003-07,7.591,
2003-10,7.779,
2004-01,7.989,
2004-04,8.211,
2004-07,8.427,
2004-10,8.511,
2005-01,8.851,
2005-04,8.817,
2005-07,9.024,
2005-10,8.922,
2006-01,8.893,
2006-04,8.575,
2006-07,8.543,
2006-10,8.562,
2007-01,8.473,
2007-04,8.387,
2007-07,8.211,
2007-10,7.991,
2008-01,7.471,
2008-04,5.298,
2008-07,5.663,
2008-10,5.674,
2009-01,5.099,
2009-04,5.239,
2009-07,5.259,
2009-10,5.198,
2010-01,5.270,
2010-04,5.475,
2010-07,6.098,
2010-10,6.286,
2011-01,6.300,
2011-04,6.223,
2011-07,6.194,
2011-10,6.259,
2012-01,6.204,
2012-04,6.451,
2012-07,6.407,
2012-10,6.522,
2013-01,6.384,
2013-04,6.330,
2013-07,6.283,
2013-10,6.115,
2014-01,6.036,
2014-04,5.803,
2014-07,5.615,
