"",BBK01.OEYK04H,BBK01.OEYK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:06,
2002-01,0.034,
2002-04,0.043,
2002-07,0.039,
2002-10,0.049,
2003-01,0.053,
2003-04,0.049,
2003-07,0.333,
2003-10,0.267,
2004-01,0.154,
2004-04,0.166,
2004-07,0.252,
2004-10,0.171,
2005-01,0.195,
2005-04,0.262,
2005-07,0.167,
2005-10,0.174,
2006-01,0.196,
2006-04,0.198,
2006-07,0.345,
2006-10,0.314,
2007-01,0.179,
2007-04,0.105,
2007-07,0.165,
2007-10,0.224,
2008-01,0.077,
2008-04,0.092,
2008-07,0.058,
2008-10,0.080,
2009-01,0.030,
2009-04,0.083,
2009-07,0.079,
2009-10,0.087,
2010-01,0.089,
2010-04,0.093,
2010-07,0.125,
2010-10,0.134,
2011-01,0.037,
2011-04,0.107,
2011-07,0.106,
2011-10,0.139,
2012-01,0.163,
2012-04,0.172,
2012-07,0.109,
2012-10,0.007,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,0.012,
2014-01,0.013,
2014-04,0.014,
2014-07,0.066,
