"",BBEX3.M.ZMK.EUR.CA.AB.A01,BBEX3.M.ZMK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Zambia  / EUR 1 = ZMK ... (selling),
unit,ZMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:29,
1999-01,2913.22,
1999-02,2305.18,
1999-03,2470.60,
1999-04,2527.84,
1999-05,2538.18,
1999-06,2548.31,
1999-07,2616.87,
1999-08,2513.68,
1999-09,2569.79,
1999-10,2561.57,
1999-11,2554.76,
1999-12,2690.02,
2000-01,2642.17,
2000-02,2691.55,
2000-03,2656.38,
2000-04,2600.57,
2000-05,2704.49,
2000-06,2894.90,
2000-07,2971.56,
2000-08,2893.76,
2000-09,2877.30,
2000-10,2952.18,
2000-11,3489.71,
2000-12,3891.18,
2001-01,3270.37,
2001-02,3379.23,
2001-03,2707.92,
2001-04,2860.22,
2001-05,2982.35,
2001-06,3177.82,
2001-07,3156.34,
2001-08,3324.75,
2001-09,3451.01,
2001-10,3446.93,
2001-11,3420.93,
2001-12,3402.51,
2002-01,3382.17,
2002-02,3420.91,
2002-03,3466.31,
2002-04,3590.93,
2002-05,3997.64,
2002-06,4436.63,
2002-07,4451.59,
2002-08,4445.21,
2002-09,4491.83,
2002-10,4628.55,
2002-11,4795.82,
2002-12,4553.17,
2003-01,4957.67,
2003-02,5246.36,
2003-03,5270.94,
2003-04,5343.03,
2003-05,5709.29,
2003-06,5554.28,
2003-07,5345.70,
2003-08,5090.24,
2003-09,5516.30,
2003-10,5632.45,
2003-11,5638.55,
2003-12,6002.52,
2004-01,5975.75,
2004-02,5921.54,
2004-03,5783.59,
2004-04,5640.15,
2004-05,5886.82,
2004-06,5885.45,
2004-07,5766.47,
2004-08,5819.69,
2004-09,6075.22,
2004-10,6155.79,
2004-11,6317.89,
2004-12,6531.88,
2005-01,6233.20,
2005-02,6279.71,
2005-03,6086.43,
2005-04,6089.56,
2005-05,5961.73,
2005-06,5678.95,
2005-07,5600.82,
2005-08,5328.46,
2005-09,5469.08,
2005-10,5257.08,
2005-11,4164.24,
2005-12,4186.72,
2006-01,4175.02,
2006-02,3963.85,
2006-03,4027.96,
2006-04,3866.26,
2006-05,4381.65,
2006-06,4520.89,
2006-07,4722.29,
2006-08,5031.05,
2006-09,5292.12,
2006-10,4899.58,
2006-11,5328.55,
2006-12,5823.94,
2007-01,5572.92,
2007-02,5622.74,
2007-03,5688.72,
2007-04,5711.85,
2007-05,5379.17,
2007-06,5108.49,
2007-07,5348.27,
2007-08,5534.41,
2007-09,5496.35,
2007-10,5484.27,
2007-11,5548.05,
2007-12,5597.50,
2008-01,5691.95,
2008-02,5697.26,
2008-03,5849.78,
2008-04,5423.91,
2008-05,5404.76,
2008-06,5042.70,
2008-07,5499.81,
2008-08,5190.38,
2008-09,5148.92,
2008-10,6233.74,
2008-11,5825.40,
2008-12,6875.32,
2009-01,6594.92,
2009-02,7131.53,
2009-03,7456.25,
2009-04,7468.28,
2009-05,7299.03,
2009-06,7298.92,
2009-07,7139.67,
2009-08,6704.60,
2009-09,6919.81,
2009-10,6893.06,
2009-11,7048.35,
2009-12,6699.14,
2010-01,6416.85,
2010-02,6453.23,
2010-03,6367.90,
2010-04,6338.44,
2010-05,6175.63,
2010-06,6325.82,
2010-07,6366.65,
2010-08,6287.96,
2010-09,6634.87,
2010-10,6495.79,
2010-11,6427.40,
2010-12,6427.69,
2011-01,6647.61,
2011-02,6597.64,
2011-03,6709.38,
2011-04,6995.27,
2011-05,6873.14,
2011-06,7020.85,
2011-07,6882.47,
2011-08,7177.85,
2011-09,6496.37,
2011-10,6884.37,
2011-11,6800.41,
2011-12,6635.41,
2012-01,6777.64,
2012-02,7070.20,
2012-03,7051.54,
2012-04,6923.93,
2012-05,6642.61,
2012-06,6547.60,
2012-07,6122.98,
2012-08,6325.69,
2012-09,6600.26,
2012-10,6878.05,
2012-11,6790.91,
2012-12,6801.57,
"","General: With effect from 1 January 2013, a currency conversion took place at the rate of 1,000 (old) kwacha = 1 (new) kwacha; the new ISO currency code is ZMW. The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Zambia, Lusaka",
