"",BBK01.OELJ01K,BBK01.OELJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:16,
2002-01,0.417,
2002-04,0.392,
2002-07,0.433,
2002-10,0.606,
2003-01,0.399,
2003-04,0.433,
2003-07,0.484,
2003-10,0.552,
2004-01,0.498,
2004-04,0.551,
2004-07,0.514,
2004-10,0.633,
2005-01,0.501,
2005-04,0.559,
2005-07,0.557,
2005-10,0.599,
2006-01,0.629,
2006-04,0.585,
2006-07,0.631,
2006-10,0.630,
2007-01,0.642,
2007-04,0.651,
2007-07,0.694,
2007-10,0.794,
2008-01,0.754,
2008-04,0.725,
2008-07,0.762,
2008-10,0.935,
2009-01,0.906,
2009-04,0.862,
2009-07,0.913,
2009-10,0.980,
2010-01,0.934,
2010-04,1.085,
2010-07,1.127,
2010-10,1.148,
2011-01,1.127,
2011-04,1.135,
2011-07,1.090,
2011-10,1.121,
2012-01,1.125,
2012-04,1.120,
2012-07,1.143,
2012-10,1.282,
2013-01,1.194,
2013-04,1.271,
2013-07,1.416,
2013-10,1.436,
2014-01,1.245,
2014-04,1.253,
2014-07,1.384,
