"",BBK01.OEAK03K,BBK01.OEAK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:18,
2002-01,1.876,
2002-04,1.876,
2002-07,2.016,
2002-10,2.278,
2003-01,2.124,
2003-04,2.011,
2003-07,2.098,
2003-10,1.855,
2004-01,1.866,
2004-04,1.757,
2004-07,1.880,
2004-10,1.555,
2005-01,1.468,
2005-04,1.390,
2005-07,1.344,
2005-10,1.246,
2006-01,1.255,
2006-04,1.278,
2006-07,1.471,
2006-10,1.464,
2007-01,1.498,
2007-04,1.508,
2007-07,1.645,
2007-10,2.042,
2008-01,1.844,
2008-04,1.984,
2008-07,2.264,
2008-10,2.232,
2009-01,1.429,
2009-04,1.368,
2009-07,1.155,
2009-10,0.984,
2010-01,0.905,
2010-04,0.816,
2010-07,0.817,
2010-10,0.943,
2011-01,0.946,
2011-04,0.959,
2011-07,1.050,
2011-10,1.069,
2012-01,0.955,
2012-04,0.782,
2012-07,0.682,
2012-10,0.553,
2013-01,0.453,
2013-04,0.411,
2013-07,0.437,
2013-10,0.412,
2014-01,0.376,
2014-04,0.372,
2014-07,0.312,
