"",BBEX3.M.LAK.USD.CA.AB.A01,BBEX3.M.LAK.USD.CA.AB.A01_FLAGS
1998-12,4309.00,
1999-01,4409.00,
1999-02,4498.00,
1999-03,5400.00,
1999-04,6750.00,
1999-05,8070.00,
1999-06,9470.00,
1999-07,9400.00,
1999-08,9400.00,
1999-09,7050.00,
1999-10,7800.00,
1999-11,7805.00,
1999-12,7650.00,
2000-01,7620.00,
2000-02,7610.00,
2000-03,7600.00,
2000-04,7610.00,
2000-05,7770.00,
2000-06,7850.00,
2000-07,8040.00,
2000-08,8010.00,
2000-09,8120.00,
2000-10,8185.00,
2000-11,8285.00,
2000-12,8245.00,
2001-01,8255.00,
2001-02,8265.00,
2001-03,8400.00,
2001-04,8540.00,
2001-05,8550.00,
2001-06,8695.00,
2001-07,9145.00,
2001-08,9200.00,
2001-09,9590.00,
2001-10,9600.00,
2001-11,9570.00,
2001-12,9540.00,
2002-01,9550.00,
2002-02,9555.00,
2002-03,9530.00,
2002-04,9530.00,
2002-05,9635.00,
2002-06,10030.00,
2002-07,10320.00,
2002-08,10540.00,
2002-09,10930.00,
2002-10,10820.00,
2002-11,10830.00,
2002-12,10740.00,
2003-01,10670.00,
2003-02,10650.00,
2003-03,10710.00,
2003-04,10710.00,
2003-05,10580.00,
2003-06,10650.00,
2003-07,10710.00,
2003-08,10690.00,
2003-09,10580.00,
2003-10,10530.00,
2003-11,10521.00,
2003-12,10499.00,
2004-01,10451.00,
2004-02,10456.00,
2004-03,10496.00,
2004-04,10476.00,
2004-05,10603.00,
2004-06,10756.00,
2004-07,10791.00,
2004-08,10906.00,
2004-09,10911.00,
2004-10,10871.00,
2004-11,10596.00,
2004-12,10405.00,
2005-01,10846.00,
2005-02,10350.00,
2005-03,10435.00,
2005-04,10550.00,
2005-05,10580.00,
2005-06,10765.00,
2005-07,10925.00,
2005-08,10885.00,
2005-09,10922.00,
2005-10,10887.00,
2005-11,10867.00,
2005-12,10832.00,
2006-01,10536.00,
2006-02,10501.00,
2006-03,10376.00,
2006-04,10115.00,
2006-05,10145.00,
2006-06,10190.00,
2006-07,10130.00,
2006-08,10105.00,
2006-09,10075.00,
2006-10,9950.00,
2006-11,9870.00,
2006-12,9755.00,
2007-01,9740.00,
2007-02,9699.00,
2007-03,9669.00,
2007-04,9645.00,
2007-05,9610.00,
2007-06,9642.00,
2007-07,9569.00,
2007-08,9635.00,
2007-09,9635.00,
2007-10,9617.00,
2007-11,9471.00,
2007-12,9359.00,
2008-01,9230.00,
2008-02,8971.00,
2008-03,8761.00,
2008-04,8749.00,
2008-05,8692.00,
2008-06,8711.00,
2008-07,8625.00,
2008-08,8671.00,
2008-09,8563.00,
2008-10,8587.00,
2008-11,8574.00,
2008-12,8488.00,
2009-01,8518.00,
2009-02,8553.00,
2009-03,8582.00,
2009-04,8572.00,
2009-05,8550.00,
2009-06,8532.00,
2009-07,8531.00,
2009-08,8528.00,
2009-09,8518.00,
2009-10,8500.00,
2009-11,8495.00,
2009-12,8502.00,
2010-01,8496.00,
2010-02,8499.00,
2010-03,8472.00,
2010-04,8296.00,
2010-05,8304.00,
2010-06,8271.00,
2010-07,8252.00,
2010-08,8210.00,
2010-09,8135.00,
2010-10,8070.00,
2010-11,8070.00,
2010-12,8073.00,
2011-01,8080.00,
2011-02,8072.00,
2011-03,8069.00,
2011-04,8051.00,
2011-05,8046.00,
2011-06,8046.00,
2011-07,8028.00,
2011-08,8025.00,
2011-09,8040.00,
2011-10,8027.00,
2011-11,8038.00,
2011-12,8043.00,
2012-01,8018.00,
2012-02,8003.00,
2012-03,8012.00,
2012-04,8007.00,
2012-05,8055.00,
2012-06,8042.00,
2012-07,8035.00,
2012-08,8035.00,
2012-09,8023.00,
2012-10,8022.00,
2012-11,8020.00,
2012-12,8005.00,
2013-01,7957.00,
2013-02,7911.00,
2013-03,7770.00,
2013-04,7670.00,
2013-05,7707.00,
2013-06,7772.00,
2013-07,7806.00,
2013-08,7855.00,
2013-09,7863.00,
2013-10,7917.00,
2013-11,8020.00,
2013-12,8040.00,
2014-01,8047.00,
2014-02,8050.00,
2014-03,8060.00,
2014-04,8063.00,
2014-05,8073.00,
2014-06,8059.00,
2014-07,8064.00,
2014-08,8061.00,
2014-09,8065.00,
2014-10,8062.00,
2014-11,8068.00,
2014-12,8108.00,
2015-01,8123.00,
2015-02,8123.00,
"","Source: Banque pour le Commerce Exterieur Lao, Vientiane.",
