"",BBK01.CEFEI5,BBK01.CEFEI5_FLAGS
"",short-term loans  debtor: Households (incl. NPISH)        creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:57,
1999-01,0.0,
1999-04,1.3,
1999-07,1.8,
1999-10,1.5,
2000-01,0.1,
2000-04,0.7,
2000-07,0.7,
2000-10,1.0,
2001-01,1.4,
2001-04,1.2,
2001-07,1.0,
2001-10,1.1,
2002-01,1.4,
2002-04,1.1,
2002-07,1.3,
2002-10,1.4,
2003-01,1.5,
2003-04,1.2,
2003-07,1.8,
2003-10,1.2,
2004-01,1.3,
2004-04,1.2,
2004-07,1.5,
2004-10,1.2,
2005-01,1.3,
2005-04,1.5,
2005-07,1.6,
2005-10,1.7,
2006-01,1.8,
2006-04,1.9,
2006-07,2.0,
2006-10,2.1,
2007-01,2.0,
2007-04,2.2,
2007-07,2.6,
2007-10,2.8,
2008-01,3.2,
2008-04,3.4,
2008-07,3.4,
2008-10,3.7,
2009-01,3.7,
2009-04,3.9,
2009-07,3.0,
2009-10,2.9,
2010-01,3.0,
2010-04,3.5,
2010-07,3.6,
2010-10,3.5,
2011-01,3.9,
2011-04,3.9,
2011-07,3.9,
2011-10,3.9,
2012-01,4.2,
2012-04,4.4,
2012-07,4.0,
2012-10,3.8,
2013-01,3.1,
2013-04,3.0,
2013-07,3.3,
2013-10,2.6,
2014-01,4.0,
2014-04,4.0,
2014-07,3.9,
