"",BBFN1.M.DE.N.1.L.HK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:37,
1982-09,0.024,
1982-10,0.024,
1982-11,0.024,
1982-12,0.050,
1983-01,0.055,
1983-02,0.055,
1983-03,0.058,
1983-04,0.059,
1983-05,0.077,
1983-06,0.083,
1983-07,0.083,
1983-08,0.077,
1983-09,0.076,
1983-10,0.050,
1983-11,0.050,
1983-12,0.047,
1984-01,0.062,
1984-02,0.062,
1984-03,0.061,
1984-04,0.060,
1984-05,0.061,
1984-06,0.058,
1984-07,0.074,
1984-08,0.074,
1984-09,0.076,
1984-10,0.063,
1984-11,0.075,
1984-12,0.102,
1985-01,0.102,
1985-02,0.103,
1985-03,0.103,
1985-04,0.094,
1985-05,0.093,
1985-06,0.093,
1985-07,0.093,
1985-08,0.091,
1985-09,0.092,
1985-10,0.093,
1985-11,0.087,
1985-12,0.086,
1986-01,0.087,
1986-02,0.085,
1986-03,0.083,
1986-04,0.076,
1986-05,0.076,
1986-06,0.128,
1986-07,0.128,
1986-08,0.133,
1986-09,0.132,
1986-10,0.132,
1986-11,0.132,
1986-12,0.124,
1987-01,0.127,
1987-02,0.121,
1987-03,0.112,
1987-04,0.110,
1987-05,0.143,
1987-06,0.148,
1987-07,0.148,
1987-08,0.122,
1987-09,0.180,
1987-10,0.184,
1987-11,0.186,
1987-12,0.185,
1988-01,0.195,
1988-02,0.196,
1988-03,0.195,
1988-04,0.195,
1988-05,0.195,
1988-06,0.192,
1988-07,0.192,
1988-08,0.218,
1988-09,0.237,
1988-10,0.236,
1988-11,0.229,
1988-12,0.211,
1989-01,0.179,
1989-02,0.182,
1989-03,0.182,
1989-04,0.181,
1989-05,0.178,
1989-06,0.180,
1989-07,0.182,
1989-08,0.182,
1989-09,0.190,
1989-10,0.189,
1989-11,0.190,
1989-12,0.194,
1990-01,0.196,
1990-02,0.174,
1990-03,0.177,
1990-04,0.180,
1990-05,0.189,
1990-06,0.194,
1990-07,0.196,
1990-08,0.155,
1990-09,0.159,
1990-10,0.163,
1990-11,0.176,
1990-12,0.185,
1991-01,0.210,
1991-02,0.176,
1991-03,0.176,
1991-04,0.184,
1991-05,0.190,
1991-06,0.206,
1991-07,0.219,
1991-08,0.227,
1991-09,0.231,
1991-10,0.236,
1991-11,0.237,
1991-12,0.239,
1992-01,0.250,
1992-02,0.255,
1992-03,0.267,
1992-04,0.268,
1992-05,0.265,
1992-06,0.230,
1992-07,0.247,
1992-08,0.090,
1992-09,0.146,
1992-10,0.148,
1992-11,0.147,
1992-12,0.156,
1993-01,0.161,
1993-02,0.155,
1993-03,0.154,
1993-04,0.163,
1993-05,0.167,
1993-06,0.175,
1993-07,0.196,
1993-08,0.202,
1993-09,0.206,
1993-10,0.220,
1993-11,0.217,
1993-12,0.250,
1994-01,0.242,
1994-02,0.241,
1994-03,0.303,
1994-04,0.330,
1994-05,0.332,
1994-06,0.351,
1994-07,0.372,
1994-08,0.374,
1994-09,0.320,
1994-10,0.313,
1994-11,0.316,
1994-12,0.316,
1995-01,0.290,
1995-02,0.305,
1995-03,0.287,
1995-04,0.261,
1995-05,0.263,
1995-06,0.261,
1995-07,0.262,
1995-08,0.263,
1995-09,0.270,
1995-10,0.291,
1995-11,0.299,
1995-12,0.288,
1996-01,0.287,
1996-02,0.325,
1996-03,0.314,
1996-04,0.341,
1996-05,0.337,
1996-06,0.333,
1996-07,0.371,
1996-08,0.372,
1996-09,0.375,
1996-10,0.390,
1996-11,0.403,
1996-12,0.472,
1997-01,0.523,
1997-02,0.535,
1997-03,0.557,
1997-04,0.569,
1997-05,0.557,
1997-06,0.554,
1997-07,0.570,
1997-08,0.586,
1997-09,0.650,
1997-10,0.640,
1997-11,0.631,
1997-12,0.643,
1998-01,0.655,
1998-02,0.656,
1998-03,0.649,
1998-04,0.648,
1998-05,0.684,
1998-06,0.689,
1998-07,0.684,
1998-08,0.682,
